#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,SO%
508,Michael Petersen,MIA,2,2,4.4,40,0,1,10,,40,173,38,21,20,6,17,,2,38,0.22
509,Ron Marinaccio,SDP,2,1,4.35,40,0,0,8,,40,171,36,21,19,5,17,,3,36,0.211
510,Julian Aguiar,CIN,1,1,4.83,13,1,0,0,,18,79,19,11,10,3,6,,1,14,0.177
511,Tanner Andrews,TOR,0,0,4.15,18,0,0,0,,18,82,16,9,8,2,8,,1,18,0.22
512,Matt Festa,CLE,2,2,4.28,33,0,0,5,,33,141,30,17,16,4,12,,2,32,0.227
513,Chris Murphy,CHW,1,1,4.29,24,0,0,0,,24,103,21,12,11,3,12,,1,21,0.204
514,Drew Sommers,DET,1,2,4.06,18,0,0,0,,18,79,17,9,8,2,7,,1,16,0.203
515,Ben Peoples,CHW,0,0,4.15,13,0,0,0,,13,59,12,7,6,1,6,,1,13,0.22
516,John Klein,MIN,2,2,4.43,32,0,0,3,,32,140,32,17,16,4,12,,2,29,0.207
517,Hagen Danner,CIN,0,0,4.15,11,0,0,0,,11,48,10,5,5,1,5,,1,10,0.208
518,Cristian Mena,ARI,0,0,3.99,7,0,0,0,,7,28,6,3,3,1,3,,0,6,0.214
519,Colin Selby,BAL,1,1,4,16,0,0,0,,16,66,14,8,7,2,7,,1,16,0.242
520,Alec Gamboa,BOS,0,0,4.15,22,0,0,0,,22,102,20,12,10,3,10,,1,22,0.216
521,Justin Hagenman,NYM,0,0,4.06,9,0,0,0,,9,38,9,4,4,1,2,,0,8,0.211
522,Kyle Backhus,PHI,1,1,4.2,13,0,0,0,,13,56,12,7,6,2,5,,1,12,0.214
523,Eduardo Rivera,BOS,0,0,4.15,21,0,0,0,,21,96,19,11,10,2,10,,1,21,0.219
524,Yerry De los Santos,NYY,1,1,4.14,26,0,0,0,,26,113,26,13,12,3,10,,1,21,0.186
525,Brooks Kriske,ATH,0,0,4.47,14,0,0,0,,14,63,13,8,7,2,8,,0,16,0.254
526,Ian Hamilton,ATL,0,0,3.94,8,0,0,0,,8,33,7,4,3,1,4,,0,8,0.242
527,Brendan Beck,NYY,0,0,4.15,12,0,0,0,,12,53,11,6,5,1,5,,1,12,0.226
528,Jonathan Pintaro,NYM,1,2,4.17,31,0,0,3,,31,138,29,16,15,4,16,,2,30,0.217
529,Chase Shugart,PHI,2,2,4.39,31,0,0,3,,31,135,30,17,15,4,12,,1,26,0.193
530,TJ Shook,COL,0,0,4.15,8,0,0,0,,8,35,7,4,4,1,4,,0,8,0.229
531,Burch Smith,DET,1,1,4.18,21,0,0,0,,21,89,20,10,10,3,8,,1,20,0.225
532,Ryan Brasier,TEX,0,0,4.1,12,0,0,0,,12,49,11,6,5,1,4,,1,10,0.204
533,Seth Halvorsen,COL,2,2,4.69,36,0,1,7,,36,160,36,21,19,5,17,,2,33,0.206
534,Nick Raquet,BAL,2,2,4.46,26,0,0,0,,26,112,26,14,13,3,9,,1,21,0.188
535,Charlie Barnes,LAD,0,0,4.15,10,0,0,0,,10,47,9,5,5,1,5,,1,10,0.213
536,Bryse Wilson,PHI,0,0,5.31,1,1,0,0,,6,27,7,4,4,1,2,,0,4,0.148
537,Liam Hendriks,CHC,1,1,4.19,9,0,0,0,,9,39,8,5,4,1,4,,0,9,0.231
538,Dietrich Enns,BAL,0,0,4.23,7,0,0,0,,7,31,7,4,3,1,3,,0,7,0.226
539,Brady Basso,ATH,1,1,4.19,27,0,0,0,,27,118,27,14,13,3,10,,1,24,0.203
540,Eric Reyzelman,NYY,0,0,4.15,9,0,0,0,,9,42,8,5,4,1,4,,1,9,0.214
541,Michael Fulmer,SFG,1,1,4.11,9,0,0,0,,9,39,8,5,4,1,4,,0,9,0.231
542,Josh Walker,BAL,0,0,4.15,19,0,0,0,,19,88,18,10,9,2,9,,1,19,0.216
543,Travis Adams,MIN,2,2,4.78,28,1,0,0,,33,144,34,19,17,4,12,,1,26,0.181
544,James McArthur,KCR,1,0,4.23,8,0,0,0,,8,34,8,4,4,1,3,,0,7,0.206
545,Austin Voth,TOR,0,0,4.15,8,0,0,0,,8,35,7,4,4,1,4,,0,8,0.229
546,C.J. Culpepper,MIN,0,0,4.15,12,0,0,0,,12,53,11,6,5,1,5,,1,11,0.208
547,Will Dion,CLE,0,0,4.15,23,0,0,0,,23,105,21,12,11,3,11,,1,23,0.219
548,Danny Young,ATL,0,0,3.99,9,0,0,0,,9,40,8,4,4,1,4,,1,10,0.25
549,Alex McFarlane,PHI,0,0,4.15,9,0,0,0,,9,42,8,5,4,1,4,,1,9,0.214
550,David Davalillo,TEX,0,0,4.15,8,0,0,0,,8,36,7,4,4,1,4,,0,8,0.222
551,Daniel Duarte,NYM,0,0,4.15,30,0,0,0,,30,136,27,16,14,3,14,,2,29,0.213
552,Grant Hartwig,MIN,0,0,4.15,9,0,0,0,,9,41,8,5,4,1,4,,1,9,0.22
553,Jake Cousins,LAD,0,0,4.1,5,0,0,0,,5,23,4,3,2,1,3,,0,6,0.261
554,Beck Way,KCR,0,0,4.15,10,0,0,0,,10,47,9,5,5,1,5,,1,10,0.213
555,Geoff Hartlieb,ATH,0,0,4.15,5,0,0,0,,5,24,5,3,2,1,2,,0,5,0.208
556,Carlos Lagrange,NYY,0,0,4.1,7,0,0,0,,7,28,5,3,3,1,4,,0,7,0.25
557,Riley Martin,CHC,1,0,4.01,10,0,0,0,,10,45,9,5,5,1,5,,0,11,0.244
558,Jack Ralston,MIA,0,0,4.15,13,0,0,0,,13,59,12,7,6,1,6,,1,13,0.22
559,Zack Kelly,BOS,1,1,4.32,26,0,0,0,,26,114,24,14,13,3,11,,2,25,0.219
560,Grant Holman,PHI,1,0,4.22,7,0,0,0,,7,28,6,3,3,1,3,,0,6,0.214
561,Joel Payamps,ATL,0,0,4.15,6,0,0,0,,6,27,6,3,3,1,2,,0,6,0.222
562,AJ Smith-Shawver,ATL,0,0,3.97,5,0,0,0,,5,22,4,2,2,1,2,,0,6,0.273
563,Nate Pearson,HOU,2,2,4.48,40,0,1,8,,40,173,36,22,20,5,19,,2,39,0.225
564,Stephen Jones,MIA,0,0,4.15,5,0,0,0,,5,23,5,3,2,1,2,,0,5,0.217
565,Anderson Severino,NYM,0,0,4.15,8,0,0,0,,8,36,7,4,4,1,4,,0,8,0.222
566,Chase Lee,TOR,1,1,4.15,21,0,0,0,,21,88,19,10,10,3,7,,1,19,0.216
567,Misael Tamarez,SDP,0,0,4.15,7,0,0,0,,7,33,7,4,3,1,3,,0,7,0.212
568,Joe Rock,CHW,1,1,4.05,12,0,0,0,,12,51,11,6,5,1,4,,1,10,0.196
569,Adam Macko,TOR,2,2,4.29,31,0,0,0,,31,135,29,16,15,4,14,,2,29,0.215
570,Manuel Rodríguez,TBR,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,#DIV/0!
571,Thomas Harrington,PIT,1,1,4.81,11,1,0,0,,16,70,17,9,9,3,6,,1,13,0.186
572,Jordan Hicks,CHW,1,2,4.4,26,0,0,0,,26,116,25,14,13,3,13,,2,23,0.198
573,Jhony Brito,SDP,1,1,4.19,17,0,0,0,,17,73,17,9,8,2,6,,0,14,0.192
574,Sam Bachman,LAA,2,3,4.3,41,0,8,7,,41,182,39,22,20,4,21,,2,38,0.209
575,Julian Fernández,WSN,1,1,4.22,21,0,0,0,,21,88,19,11,10,3,8,,1,20,0.227
576,Derek Law,ARI,1,1,4.16,9,0,0,0,,9,40,9,5,4,1,4,,0,8,0.2
577,Miguel Ullola,HOU,0,0,4.18,8,0,0,0,,8,33,6,4,4,1,4,,0,9,0.273
578,Shane Murphy,CHW,0,0,4.32,7,0,0,0,,7,28,7,3,3,1,2,,0,5,0.179
579,Ryan Watson,BOS,1,2,4.55,30,0,0,3,,30,132,31,17,15,4,11,,1,25,0.189
580,Reiver Sanmartin,SFG,0,0,4.04,8,0,0,0,,8,34,8,4,4,1,3,,0,6,0.176
581,Matt Waldron,SDP,1,1,4.98,8,1,0,0,,13,55,13,8,7,2,4,,1,9,0.164
582,Landon Knack,LAD,0,0,4.67,4,0,0,0,,4,17,4,2,2,1,2,,0,4,0.235
583,Chen Zhong-Ao Zhuang,ATH,0,0,4.48,7,0,0,0,,7,28,7,4,3,1,2,,0,5,0.179
584,Yoniel Curet,DET,0,0,4.54,5,0,0,0,,5,23,5,3,3,1,3,,0,5,0.217
585,Tyson Neighbors,BAL,0,1,4.41,10,0,0,0,,10,42,9,5,5,1,5,,0,10,0.238
586,Cade Gibson,MIA,2,2,4.14,34,0,0,3,,34,147,33,17,16,3,13,,3,27,0.184
587,Tristan Beck,SFG,1,1,4.16,17,0,0,0,,17,73,16,9,8,2,6,,1,14,0.192
588,Yosver Zulueta,SEA,0,0,3.88,6,0,0,0,,6,28,6,3,3,1,3,,0,6,0.214
589,Rafael Montero,NYY,0,0,4.46,4,0,0,0,,4,17,4,2,2,1,2,,0,4,0.235
590,Ryan Weiss,HOU,1,1,4.33,15,0,0,0,,15,67,14,8,7,2,7,,1,16,0.239
591,Dylan Smith,SFG,1,1,4.07,15,0,0,0,,15,65,14,7,7,2,7,,1,13,0.2
592,Yaramil Hiraldo,BAL,0,0,4.43,6,0,0,0,,6,28,6,3,3,1,3,,0,7,0.25
593,Adbert Alzolay,NYM,1,1,4.14,16,0,0,0,,16,66,14,8,7,2,5,,1,15,0.227
594,Duncan Davitt,CHW,1,1,4.44,16,0,0,0,,16,67,15,8,8,2,5,,1,14,0.209
595,Prelander Berroa,CHW,0,0,4.41,5,0,0,0,,5,23,5,3,3,1,3,,0,5,0.217
596,Isaac Mattson,PIT,1,2,4.33,27,0,0,0,,27,118,25,14,13,3,13,,1,25,0.212
597,Craig Yoho,MIL,1,1,4.06,23,0,0,0,,23,98,20,11,10,3,11,,1,23,0.235
598,Connor Brogdon,CLE,0,0,4.66,5,0,0,0,,5,22,5,3,3,1,2,,0,5,0.227
599,Tate Kuehner,MIL,1,1,4.14,9,0,0,0,,9,38,8,4,4,1,4,,1,8,0.211
600,Cooper Criswell,SEA,2,2,4.09,37,1,0,7,,43,183,42,21,19,5,15,,3,35,0.191
601,Easton McGee,MIL,1,1,4.2,15,0,0,0,,15,66,15,8,7,2,5,,1,13,0.197
602,Max Kranick,WSN,0,0,4.46,10,0,0,0,,10,41,10,5,5,1,3,,0,8,0.195
603,Yuki Matsui,SDP,1,1,4.16,33,0,0,3,,33,142,29,17,15,4,15,,1,33,0.232
604,Evan Fitterer,SDP,1,1,4.18,9,0,0,0,,9,41,9,5,4,1,5,,1,8,0.195
605,Nick Davila,SEA,0,0,4.15,31,0,0,3,,31,141,28,16,14,3,14,,2,30,0.213
606,Colton Gordon,HOU,1,1,4.44,14,0,0,0,,14,60,14,8,7,2,4,,1,13,0.217
607,Spencer Bivens,SFG,1,1,4.2,13,0,0,0,,13,56,13,7,6,1,4,,1,10,0.179
608,Jack Anderson,BOS,1,1,4.5,18,0,0,0,,18,79,19,10,9,3,5,,1,15,0.19
609,Garrett Acton,MIN,1,1,4.42,18,0,0,0,,18,78,16,10,9,3,8,,1,18,0.231
610,Pedro Avila,CLE,1,1,4.4,12,0,0,0,,12,50,11,6,6,1,5,,0,10,0.2
611,Ryan Yarbrough,NYY,2,1,4.31,34,0,0,5,,34,144,32,18,16,5,11,,2,27,0.188
612,Ben Casparius,LAD,1,1,4.54,16,0,0,0,,16,68,15,9,8,2,6,,1,15,0.221
613,Chayce McDermott,LAD,0,1,4.65,12,0,0,0,,12,52,11,7,6,2,7,,1,12,0.231
614,Joey Estes,ATH,1,2,5.07,17,1,0,0,,22,95,22,14,12,4,7,,1,17,0.179
615,Carlos Rodriguez,MIL,1,1,4.42,20,0,0,0,,20,87,18,11,10,3,9,,1,19,0.218
616,PJ Poulin,WSN,2,2,4.1,30,0,0,0,,30,129,28,15,14,3,13,,2,28,0.217
617,Jacob Webb,CHC,2,2,4.24,41,0,1,9,,41,174,37,21,19,5,17,,2,39,0.224
618,Jackson Rutledge,PHI,0,0,4.72,10,0,0,0,,10,46,10,6,5,1,4,,1,9,0.196
619,Dylan Ross,NYM,1,1,4.07,18,0,0,0,,18,77,15,9,8,2,10,,1,18,0.234
620,Michael Darrell-Hicks,PIT,0,0,4.6,8,0,0,0,,8,34,8,4,4,1,3,,0,6,0.176
621,Carlos Vargas,SEA,0,0,4.16,5,0,0,0,,5,22,5,3,2,1,2,,0,4,0.182
622,José Leclerc,SDP,1,1,4.14,15,0,0,0,,15,62,12,7,7,2,7,,1,15,0.242
623,Bruce Zimmermann,STL,0,0,4.35,7,0,0,0,,7,28,7,4,3,1,2,,0,5,0.179
624,Jack Neely,CHC,0,0,4.55,5,0,0,0,,5,23,5,3,3,1,3,,0,5,0.217
625,Cody Bolton,HOU,0,0,4.56,8,0,0,0,,8,37,8,5,4,1,4,,0,8,0.216
