#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
250,Christian Vázquez,HOU,48,172,189,39,28,7,0,4,17,19,13,0,36,1,1,1,1,0,0.225
251,Max Muncy,ATH,43,170,188,41,26,9,1,5,21,23,12,0,55,4,1,1,2,1,0.244
252,Dylan Beavers,BAL,43,161,186,39,26,8,1,5,23,21,22,0,44,1,1,1,5,2,0.243
253,Kyle Karros,COL,61,233,263,59,41,13,1,4,30,26,26,1,61,2,2,1,3,1,0.252
254,Marcelo Mayer,BOS,73,286,314,68,44,15,1,7,34,33,23,0,69,2,2,1,4,1,0.238
255,A.J. Ewing,NYM,57,221,247,55,40,10,3,2,29,24,23,1,58,2,2,1,14,4,0.248
256,Miguel Amaya,CHC,44,155,176,36,24,7,0,5,19,20,14,0,37,4,1,1,0,0,0.233
257,Leody Taveras,BAL,39,152,168,38,26,7,1,4,19,18,14,0,35,1,1,1,7,2,0.25
258,Danny Jansen,TEX,56,192,222,39,22,9,1,8,23,24,24,0,54,4,1,1,0,0,0.205
259,Matt Wallner,MIN,44,164,191,36,19,8,1,8,23,24,20,0,62,5,1,0,2,1,0.222
260,Lourdes Gurriel Jr.,ARI,79,315,342,82,55,16,1,10,36,43,21,0,56,3,3,0,4,1,0.262
261,David Hamilton,MIL,52,201,226,44,31,7,1,5,28,22,21,0,55,1,1,2,18,4,0.218
262,Edmundo Sosa,PHI,59,238,256,58,38,12,1,7,29,31,10,0,57,5,2,1,4,1,0.245
263,Addison Barger,TOR,46,178,200,43,25,11,0,7,23,26,18,1,47,2,1,0,1,1,0.239
264,Jesus Rodriguez,SFG,43,157,174,42,32,7,1,2,18,17,14,0,27,2,1,0,4,2,0.266
265,Mickey Moniak,COL,63,253,272,66,38,12,3,13,35,38,15,0,67,3,2,0,4,2,0.261
266,Carson Williams,TBR,63,245,273,49,30,9,2,9,31,31,23,0,95,2,2,1,7,3,0.202
267,Luis Rengifo,MIL,66,262,287,64,46,11,1,6,29,30,20,0,49,3,2,1,7,3,0.244
268,Andrew Vaughn,MIL,75,294,325,74,46,16,1,11,34,43,25,0,63,4,2,0,0,0,0.251
269,Mark Vientos,NYM,67,264,289,64,39,12,1,12,32,40,20,0,73,3,2,0,0,0,0.244
270,Austin Hedges,CLE,31,109,123,22,15,4,0,3,12,10,11,0,30,1,1,2,1,1,0.2
271,Javier Sanoja,MIA,48,192,209,50,34,12,1,3,21,23,13,0,21,1,1,1,5,3,0.262
272,Lane Thomas,KCR,65,246,279,57,36,12,2,8,32,31,27,0,70,3,2,0,9,4,0.233
273,Jose Trevino,CIN,35,129,139,30,21,6,0,3,14,14,8,0,21,1,1,1,0,0,0.234
274,Owen Caissie,MIA,65,249,281,60,36,14,1,9,31,34,27,0,94,2,2,0,3,1,0.239
275,Amed Rosario,NYY,43,176,188,46,33,8,1,4,21,23,8,0,34,1,2,0,3,1,0.263
276,Trevor Story,BOS,51,205,222,49,32,11,0,7,25,27,12,1,63,2,2,0,7,1,0.24
277,Nathaniel Lowe,CIN,56,211,240,54,35,9,1,9,27,31,27,1,58,2,1,0,0,0,0.254
278,Miguel Rojas,LAD,37,146,160,37,27,7,0,3,17,16,10,0,21,2,1,1,2,1,0.253
279,Kody Clemens,MIN,57,221,245,50,29,11,2,9,28,30,18,0,59,3,1,1,4,1,0.227
280,Darell Hernaiz,ATH,36,140,156,37,27,7,1,2,17,15,13,0,22,1,1,1,3,1,0.262
281,Jasson Domínguez,NYY,36,139,156,35,23,6,0,5,20,19,15,0,37,1,1,0,7,2,0.253
282,Hunter Feduccia,TBR,50,173,198,38,26,8,1,4,20,17,22,0,54,1,1,1,1,0,0.22
283,Drew Millas,WSN,41,146,162,34,24,6,1,3,16,15,13,0,30,1,1,1,3,1,0.232
284,Romy Gonzalez,BOS,39,154,166,41,27,8,1,5,19,19,10,0,41,1,1,1,4,1,0.265
285,Ty France,SDP,57,221,245,55,38,10,1,6,25,27,15,0,48,8,2,0,1,0,0.251
286,Henry Davis,PIT,42,147,166,31,19,6,0,5,18,18,14,0,40,4,1,1,2,1,0.213
287,Zach McKinstry,DET,65,250,281,57,38,11,3,5,29,26,26,1,59,3,2,1,8,2,0.227
288,Sung-Mun Song,SDP,41,159,176,39,28,7,1,4,19,18,14,1,32,1,1,1,4,1,0.242
289,Rhys Hoskins,CLE,64,238,279,52,30,12,0,10,31,33,35,1,78,3,2,0,1,0,0.219
290,Daniel Schneemann,CLE,49,187,211,41,26,9,1,5,23,21,21,0,58,1,1,1,4,2,0.221
291,Joey Loperfido,HOU,53,206,229,49,32,11,1,5,25,25,16,0,65,4,2,1,5,2,0.238
292,Esteury Ruiz,MIA,30,116,132,28,18,6,1,3,17,15,11,0,31,3,1,1,12,3,0.24
293,Taylor Trammell,HOU,47,176,202,39,22,9,1,7,24,24,23,0,60,2,1,0,5,2,0.22
294,Mauricio Dubón,ATL,83,333,358,85,61,18,1,5,38,37,19,0,48,2,2,1,3,1,0.257
295,J.C. Escarra,NYY,23,82,92,19,12,4,1,2,10,10,8,0,17,1,1,0,1,0,0.233
296,TJ Rumfield,COL,82,316,354,83,56,16,1,10,40,41,31,0,65,5,2,0,2,1,0.264
297,Marcell Ozuna,PIT,74,274,318,65,41,12,0,12,35,37,39,1,79,2,2,0,0,0,0.236
298,Parker Meadows,DET,34,129,145,29,19,5,2,3,17,15,13,0,36,1,1,1,4,1,0.227
299,Gabriel Arias,CLE,37,148,162,34,21,7,1,5,16,17,10,0,50,2,1,0,3,1,0.229
300,Jake Mangum,PIT,46,185,200,50,38,10,1,2,21,18,11,0,35,2,1,1,8,2,0.273
301,Ramón Urías,STL,38,147,163,35,24,7,0,4,17,17,13,0,35,2,1,0,1,0,0.24
302,Logan O'Hoppe,LAA,65,233,259,53,35,7,1,9,27,30,20,0,70,3,2,1,1,1,0.226
303,Gavin Lux,TBR,41,155,179,37,26,8,1,2,18,16,21,0,42,1,1,1,1,0,0.239
304,Luisangel Acuña,CHW,57,227,247,56,44,9,1,3,28,20,15,0,46,2,2,1,14,4,0.247
305,Victor Robles,SEA,36,138,154,34,24,7,1,2,17,14,10,0,35,4,1,2,7,2,0.246
306,Jeremiah Jackson,BAL,43,175,186,43,27,9,0,6,20,23,8,0,41,1,1,0,3,1,0.244
307,Ildemaro Vargas,ARI,50,202,217,53,38,9,2,4,23,26,11,0,24,2,1,1,2,1,0.264
308,Masataka Yoshida,BOS,45,174,194,48,33,10,1,4,21,22,15,0,24,3,1,0,2,0,0.275
309,Jake Rogers,DET,25,89,100,18,11,4,1,3,11,11,9,0,29,1,1,0,1,0,0.202
310,Giancarlo Stanton,NYY,51,197,220,44,24,8,0,12,25,35,21,1,68,1,1,0,1,0,0.226
311,Endy Rodríguez,PIT,26,92,104,22,14,5,1,2,12,11,11,0,23,1,1,0,1,0,0.237
312,Miguel Andujar,SDP,64,259,277,69,47,14,1,7,30,33,15,1,43,2,2,0,2,1,0.269
313,Nasim Nuñez,WSN,57,213,245,47,37,6,1,2,27,19,26,0,56,2,2,2,21,5,0.218
314,Brady House,WSN,42,169,181,41,28,8,0,5,20,23,9,0,49,1,1,0,2,1,0.244
315,Keibert Ruiz,WSN,47,174,187,43,29,9,0,5,19,23,9,0,22,2,1,0,2,1,0.25
316,Joey Bart,PIT,35,120,137,28,20,5,0,3,14,14,13,0,39,3,1,0,0,0,0.235
317,Richie Palacios,TBR,55,204,235,47,34,9,1,3,26,22,26,0,48,3,2,1,9,3,0.233
318,Edouard Julien,COL,66,244,286,58,40,10,1,7,33,27,37,1,81,2,2,1,4,2,0.24
319,Matt Vierling,DET,51,200,222,48,32,10,1,5,24,24,18,0,48,2,2,0,3,1,0.24
320,Will Benson,CIN,46,172,199,38,22,7,2,7,25,23,23,1,60,2,1,1,5,2,0.22
321,Josh Lowe,LAA,49,194,213,46,29,10,1,7,24,24,16,1,59,1,1,1,7,1,0.239
322,Drew Romo,CHW,39,142,155,31,21,6,0,4,15,17,10,0,39,2,1,1,1,1,0.22
323,Matt Shaw,CHC,28,109,122,26,17,5,1,4,15,14,11,0,23,1,1,0,4,1,0.243
324,Alan Roden,MIN,33,122,141,30,21,6,1,3,15,14,14,0,27,3,1,1,2,1,0.248
325,James Outman,MIN,40,151,172,32,18,7,1,5,21,18,18,0,59,3,1,0,5,1,0.209
326,Tyler Heineman,TOR,24,84,95,18,13,3,0,1,10,8,7,0,20,2,1,2,1,0,0.21
327,Tyler Freeman,COL,63,239,272,63,47,11,1,4,32,26,19,0,34,10,2,2,9,3,0.265
328,Yoán Moncada,LAA,44,167,191,38,24,7,1,6,20,20,19,0,57,2,1,0,1,0,0.225
329,Jorge Soler,LAA,85,322,367,71,40,15,0,15,42,47,38,0,107,5,3,0,0,0,0.219
330,Davis Schneider,TOR,25,91,109,19,11,4,0,3,13,12,15,0,32,1,1,0,1,0,0.208
331,Dane Myers,CIN,36,141,157,35,25,5,0,4,19,18,13,0,40,2,1,0,5,1,0.246
332,Alex Call,LAD,20,73,87,18,12,4,0,2,11,10,11,0,16,1,1,1,1,1,0.24
333,Gary Sánchez,MIL,29,105,120,22,13,4,0,5,14,16,12,0,32,2,1,0,0,0,0.213
334,Nathan Church,STL,43,170,187,43,32,7,1,4,21,20,11,0,29,2,1,1,5,2,0.253
335,Ryan Vilade,TBR,34,130,146,31,21,6,1,3,16,17,13,0,34,2,1,0,2,1,0.242
336,Brice Matthews,HOU,29,112,126,24,15,4,1,4,14,14,11,0,41,2,1,0,5,2,0.216
337,José Tena,WSN,35,137,150,34,23,7,1,3,16,16,11,0,39,1,1,1,3,1,0.249
