#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
525,Jonatan Clase,TOR,2,8,9,2,1,0,0,0,1,1,1,0,3,0,0,0,1,0,0.216
526,Chadwick Tromp,ATL,6,23,25,5,3,1,0,0,2,2,2,0,6,0,0,0,0,0,0.205
527,Trei Cruz,DET,3,12,14,3,2,0,0,0,1,1,2,0,4,0,0,0,0,0,0.211
528,Michael Siani,BAL,1,4,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.198
529,Justyn-Henry Malloy,TBR,4,16,19,4,2,1,0,0,2,2,2,0,5,0,0,0,0,0,0.225
530,Tommy Pham,BAL,1,4,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.237
531,Alika Williams,ATH,19,76,82,19,15,3,0,1,10,5,5,0,16,0,0,1,0,0,0.247
532,Joshua Báez,STL,1,4,5,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0.232
533,Christian Encarnacion-Strand,BAL,1,4,5,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0.237
534,Kahlil Watson,CLE,2,8,9,2,1,0,0,0,1,1,1,0,3,0,0,0,0,0,0.211
535,Brian Serven,ATH,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.213
536,Ryan Bliss,SEA,2,8,9,2,1,0,0,0,1,1,1,0,3,0,0,0,0,0,0.21
537,Kemp Alderman,MIA,3,13,14,3,2,1,0,0,1,2,1,0,4,0,0,0,0,0,0.234
538,Junior Perez,CHW,3,12,14,3,2,0,0,0,1,1,1,0,4,0,0,0,0,0,0.207
539,Bryce Teodosio,LAA,14,54,59,11,8,2,0,1,6,4,3,0,19,1,0,0,2,1,0.208
540,Anthony Seigler,BOS,1,4,5,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0.223
541,Lenyn Sosa,TOR,27,111,118,27,18,5,0,4,12,14,5,0,26,1,1,1,1,0,0.245
542,Yohandy Morales,WSN,9,37,41,9,6,2,0,1,4,4,3,0,12,0,0,0,0,0,0.235
543,Manuel Margot,,3,13,14,3,2,1,0,0,2,1,1,0,3,0,0,0,0,0,0.248
544,Shay Whitcomb,HOU,6,25,27,5,3,1,0,1,3,3,2,0,8,0,0,0,1,0,0.21
545,Justin Dean,CHC,1,4,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.204
546,Brice Matthews,HOU,29,110,126,23,14,4,0,4,15,13,12,0,43,2,1,2,5,1,0.211
547,Maverick Handley,ATL,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.206
548,Andrew McCutchen,,16,60,69,13,9,3,0,2,8,7,8,0,16,0,0,0,0,0,0.225
549,Wilmer Flores,,18,70,78,16,11,3,0,3,8,9,7,0,14,1,1,0,0,0,0.232
550,Jose Siri,LAA,27,109,118,23,16,3,0,4,13,13,8,0,44,1,0,0,3,1,0.209
551,Jose Herrera,TEX,1,4,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.199
552,Nick Morabito,NYM,6,25,27,6,5,1,0,0,4,2,2,0,7,0,0,0,1,0,0.241
553,Santiago Espinal,LAD,1,4,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.245
554,Jarred Kelenic,CHW,1,4,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.217
555,Petey Halpin,CLE,9,37,40,8,6,2,0,1,4,4,3,0,12,0,0,0,1,0,0.216
