#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
239,Cam Smith,HOU,90,291,327,68,45,14,2,8,38,34,29,0,86,5,2,0,6,1,0.235
240,Gabriel Arias,CLE,69,219,239,51,32,11,1,7,25,26,14,1,74,3,1,1,4,2,0.233
241,Dylan Crews,WSN,61,221,244,53,36,8,2,7,31,26,17,0,55,5,1,0,11,3,0.24
242,CJ Kayfus,CLE,69,235,267,59,34,14,4,8,33,34,25,0,75,4,2,1,3,1,0.251
243,Jasson Domínguez,NYY,67,233,259,59,39,10,1,9,37,33,23,1,64,1,1,0,12,2,0.253
244,Carlos Cortes,ATH,74,239,268,61,39,13,1,8,28,32,25,0,51,2,2,0,1,1,0.256
245,George Springer,TOR,82,305,347,76,49,14,1,12,47,42,36,1,68,4,2,0,7,1,0.248
246,Royce Lewis,MIN,67,233,256,55,34,11,0,10,28,35,20,1,60,2,2,0,6,1,0.234
247,Jonathan India,KCR,77,269,315,65,42,14,1,7,40,30,35,0,59,9,2,1,2,2,0.24
248,Addison Barger,TOR,73,251,280,60,34,16,1,10,33,39,25,1,66,2,2,0,2,1,0.239
249,Shay Whitcomb,HOU,71,249,273,57,35,10,1,11,34,38,19,1,84,3,2,0,6,2,0.229
250,Ha-Seong Kim,ATL,63,217,248,51,37,8,1,5,28,23,26,1,46,2,1,1,9,2,0.234
251,Chandler Simpson,TBR,92,363,392,105,91,10,4,0,51,28,21,0,40,0,3,6,34,9,0.288
252,Luke Raley,SEA,73,212,241,51,30,10,1,10,30,34,17,0,75,10,1,1,4,1,0.239
253,Ty France,SDP,84,279,308,70,47,13,1,8,32,35,18,1,59,10,2,0,1,0,0.251
254,Bryan Torres,STL,65,218,255,61,48,9,1,3,30,24,30,0,42,1,1,5,8,3,0.279
255,Javier Sanoja,MIA,88,281,304,74,51,17,3,4,30,35,18,0,30,1,2,2,7,5,0.263
256,James Outman,MIN,89,260,296,56,31,12,2,10,42,31,30,1,103,5,2,0,10,2,0.216
257,Vinnie Pasquantino,KCR,97,362,406,89,53,18,1,16,42,57,37,2,63,4,3,0,2,0,0.246
258,Kyle Karros,COL,83,285,321,71,49,16,2,4,39,32,31,1,75,3,2,0,4,1,0.248
259,Owen Caissie,MIA,82,288,326,72,44,17,1,10,38,43,32,1,109,3,3,0,4,2,0.248
260,Johnathan Rodríguez,BAL,69,240,267,62,41,10,1,10,29,34,23,1,74,2,2,0,1,1,0.257
261,Brett Harris,ATH,55,186,213,43,30,8,1,5,25,26,20,0,43,5,1,1,3,1,0.233
262,Victor Scott II,STL,93,294,337,64,48,10,2,5,39,26,27,0,74,6,2,8,23,5,0.219
263,Jake Burger,TEX,88,316,341,76,43,15,1,17,40,54,19,1,88,5,2,0,1,1,0.24
264,Will Benson,CIN,84,230,265,52,30,10,3,10,37,33,31,1,79,3,1,1,6,3,0.226
265,TJ Friedl,CIN,93,327,379,76,54,12,2,8,41,36,38,0,68,8,2,4,9,2,0.233
