#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
187,Harrison Bader,SFG,82,321,353,77,52,15,1,9,38,37,22,0,83,5,3,2,10,3,0.24
188,Ryan McMahon,NYY,64,241,275,51,32,10,0,9,30,32,29,0,83,2,2,1,3,1,0.213
189,Jake Meyers,HOU,62,242,270,59,41,11,1,6,30,27,21,0,58,3,2,1,7,2,0.243
190,Anthony Volpe,NYY,49,188,211,44,27,10,1,6,27,25,18,0,48,2,2,1,9,2,0.235
191,Logan O'Hoppe,LAA,65,232,259,55,36,9,0,10,28,31,21,0,65,3,2,1,1,1,0.237
192,Adolis García,PHI,94,370,408,87,53,18,1,16,46,53,29,1,111,4,3,2,8,2,0.235
193,Luis Campusano,SDP,45,159,178,39,26,7,0,6,20,20,16,0,37,1,1,1,0,0,0.243
194,Mark Vientos,NYM,67,262,289,63,38,12,0,12,34,40,21,1,73,3,2,1,1,0,0.241
195,Oswald Peraza,LAA,72,282,313,66,44,11,1,9,33,33,22,0,77,5,2,2,13,3,0.234
196,Ryan Waldschmidt,ARI,68,256,296,60,40,12,2,6,36,28,30,0,73,6,2,1,9,3,0.235
197,Kyle Isbel,KCR,75,295,325,73,50,14,3,5,40,30,22,0,64,3,2,2,8,3,0.246
198,Justin Crawford,PHI,85,337,366,87,64,16,2,5,43,33,23,0,77,2,3,2,20,5,0.258
199,Coby Mayo,BAL,48,186,209,45,26,10,1,8,27,28,18,1,58,2,1,1,1,0,0.24
200,Joe Mack,MIA,63,223,249,51,33,10,1,7,27,26,21,0,69,2,2,1,1,0,0.229
201,Brendan Donovan,SEA,52,200,227,51,36,10,0,5,27,24,20,1,35,5,2,0,2,1,0.255
202,JJ Bleday,CIN,73,274,314,65,37,14,1,12,39,39,36,1,72,1,2,1,2,1,0.236
203,Pedro Pagés,STL,58,209,230,49,33,9,0,6,23,23,16,0,58,2,2,2,1,0,0.232
204,Josh Smith,TEX,53,199,229,48,34,10,1,4,27,22,22,0,44,5,2,1,5,1,0.242
205,Jac Caglianone,KCR,81,315,348,81,50,16,2,14,44,45,25,1,82,4,2,1,2,1,0.257
206,Jacob Young,WSN,69,271,299,65,49,11,1,4,30,24,20,0,53,5,2,2,13,4,0.241
207,Mickey Moniak,COL,63,252,272,68,40,13,3,13,39,38,15,1,68,3,2,1,5,2,0.272
208,Caleb Durbin,BOS,74,284,319,69,48,16,0,5,33,31,22,0,41,9,3,2,15,4,0.243
209,Christian Yelich,MIL,87,330,377,82,55,14,1,12,46,43,40,1,92,3,3,1,12,2,0.248
210,Curtis Mead,WSN,57,219,245,56,36,12,1,6,29,27,18,0,48,5,2,1,4,2,0.254
211,Kerry Carpenter,DET,64,252,277,63,38,11,2,13,37,38,18,1,68,4,2,1,2,1,0.252
212,Vaughn Grissom,LAA,67,260,290,66,46,13,0,7,32,29,22,0,53,5,2,1,5,1,0.252
