Date,Home,Away,Home_Score,Away_Score,Total_Score,Home_Win,Over_8,Over_4,F5_Home_Score,F5_Away_Score,F5_Total_Score,F5_Home_Win,F1_Home_Score,F1_Away_Score,F1_Total_Score,Any_Runs,Home_Win_Prob,Over_8_Prob,Over_4_Prob,RIFI_Prob
4/9/25,ATL,PHI,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0.62,0.62,0.6,0.54
4/10/25,KC,MIN,3,2,5,1,0,0,1,1,2,0,1,0,1,1,0.49,0.41,0.45,0.51
4/10/25,BOS,TOR,4,3,7,1,0,0,0,0,0,0,0,0,0,0,0.48,0.55,0.52,0.52
4/10/25,TB,LAA,1,11,12,0,1,1,1,10,11,0,0,1,1,1,0.44,0.52,0.51,0.51
4/10/25,ATL,PHI,4,2,6,1,0,0,1,1,2,0,1,0,1,1,0.44,0.36,0.39,0.45
4/11/25,ATH,NYM,6,7,13,0,1,0,1,3,4,0,0,0,0,0,0.5,0.63,0.59,0.59
4/11/25,SEA,TEX,5,3,8,1,0,0,3,1,4,1,1,0,1,1,0.33,0.49,0.51,0.51
4/11/25,STL,PHI,2,0,2,1,0,0,2,0,2,1,0,0,0,0,0.45,0.44,0.46,0.49
4/11/25,TB,ATL,6,3,9,1,1,0,3,1,4,1,0,1,1,1,0.59,0.48,0.5,0.52
4/11/25,HOU,LAA,14,3,17,1,1,1,7,2,9,1,0,0,0,0,0.58,0.68,0.64,0.59
4/11/25,MIA,WSH,4,7,11,0,1,0,4,0,4,1,0,0,0,0,0.59,0.47,0.48,0.46
4/11/25,NYY,SF,1,9,10,0,1,1,1,8,9,0,0,5,5,1,0.51,0.65,0.62,0.57
4/11/25,CIN,PIT,5,3,8,1,0,1,5,3,8,1,3,0,3,1,0.58,0.46,0.47,0.48
4/12/25,SEA,TEX,9,2,11,1,1,1,5,1,6,1,0,1,1,1,0.59,0.46,0.48,0.48
4/12/25,LAD,CHC,0,16,16,0,1,0,0,1,1,0,0,0,0,0,0.4,0.65,0.63,0.59
4/12/25,MIN,DET,0,4,4,0,0,0,0,2,2,0,0,1,1,1,0.54,0.55,0.54,0.55
4/12/25,HOU,LAA,1,4,5,0,0,0,0,4,4,0,0,2,2,1,0.67,0.69,0.66,0.58
4/12/25,TB,ATL,4,5,9,0,1,0,2,0,2,1,1,0,1,1,0.52,0.39,0.42,0.5
4/12/25,MIA,WSH,7,6,13,1,1,1,6,3,9,1,0,0,0,0,0.51,0.4,0.42,0.45
4/14/25,PHI,SF,4,10,14,0,1,1,4,6,10,0,3,0,3,1,0.4,0.7,0.64,0.58
4/14/25,PIT,WSH,10,3,13,1,1,1,5,0,5,1,1,0,1,1,0.68,0.25,0.3,0.39
4/14/25,MIN,NYM,1,5,6,0,0,0,1,1,2,0,0,0,0,0,0.43,0.5,0.5,0.53
4/14/25,TB,BOS,16,1,17,1,1,1,15,1,16,1,1,0,1,1,0.56,0.55,0.56,0.53
4/15/25,STL,HOU,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0.3,0.54,0.53,0.54
4/15/25,TOR,ATL,6,3,9,1,1,1,6,1,7,1,0,1,1,1,0.5,0.39,0.42,0.49
4/15/25,PHI,SF,6,4,10,1,1,0,2,2,4,0,0,0,0,0,0.64,0.5,0.52,0.5
4/15/25,PIT,WSH,0,3,3,0,0,0,0,1,1,0,0,1,1,1,0.57,0.39,0.41,0.46
4/15/25,CIN,SEA,8,4,12,1,1,1,6,4,10,1,0,1,1,1,0.47,0.45,0.46,0.51
4/15/25,BAL,CLE,3,6,9,0,1,0,0,4,4,0,0,0,0,0,0.49,0.59,0.57,0.53
4/15/25,TB,BOS,4,7,11,0,1,1,2,6,8,0,0,1,1,1,0.56,0.69,0.65,0.59
4/16/25,TEX,LAA,3,1,4,1,0,0,3,0,3,1,0,0,0,0,0.45,0.52,0.52,0.52
4/16/25,STL,HOU,4,1,5,1,0,0,3,1,4,1,0,1,1,1,0.57,0.43,0.45,0.49
4/16/25,PIT,WSH,6,1,7,1,0,0,1,0,1,1,0,0,0,0,0.47,0.5,0.5,0.48
4/16/25,PHI,SF,4,11,15,0,1,1,4,5,9,0,2,4,6,1,0.48,0.55,0.53,0.53
4/16/25,TOR,ATL,3,1,4,1,0,0,1,0,1,1,0,0,0,0,0.49,0.48,0.49,0.5
4/16/25,NYY,KC,4,3,7,1,0,1,3,3,6,0,0,1,1,1,0.6,0.53,0.54,0.55
4/16/25,BAL,CLE,9,1,10,1,1,1,4,1,5,1,0,0,0,0,0.51,0.53,0.51,0.5
4/16/25,MIA,AZ,2,6,8,0,0,0,1,2,3,0,0,0,0,0,0.5,0.43,0.44,0.47
4/16/25,CIN,SEA,3,5,8,0,0,0,0,4,4,0,0,1,1,1,0.44,0.62,0.58,0.56
4/17/25,NYM,STL,4,1,5,1,0,1,4,1,5,1,0,0,0,0,0.55,0.58,0.57,0.54
4/17/25,TB,NYY,3,6,9,0,1,1,3,3,6,0,0,1,1,1,0.44,0.5,0.49,0.5
