#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO,,,,
66,Shane Baz,BAL,6,6,4.3,18,18,98,420,91,51,47,13,36,5,95,,,,
67,Brandon Woodruff,MIL,4,3,3.83,13,13,64,265,57,30,27,9,17,3,67,,,,
68,Noah Cameron,KCR,5,6,4.12,18,18,95,402,92,47,43,12,29,3,82,,,,
69,Landen Roupp,SFG,6,4,3.55,16,14,74,318,67,32,29,6,29,2,76,,,,
70,Gerrit Cole,NYY,4,3,3.84,11,11,64,266,57,30,27,8,18,2,62,,,,
71,Zebby Matthews,MIN,4,4,4.06,13,13,65,273,65,32,29,9,15,1,67,,,,
72,Seth Lugo,KCR,5,5,4.04,17,16,95,407,94,46,43,12,32,3,79,,,,
73,Carmen Mlodzinski,PIT,5,4,3.54,25,10,75,321,72,32,30,6,25,3,65,,,,
74,Michael McGreevy,STL,6,7,4.07,20,19,105,443,107,51,47,13,25,2,76,,,,
75,Jeffrey Springs,ATH,6,7,4.42,19,18,98,420,97,52,48,15,32,2,85,,,,
76,Jack Flaherty,DET,6,7,4.47,18,18,91,394,84,49,45,13,38,6,102,,,,
77,Shota Imanaga,CHC,6,5,4,17,17,95,393,88,46,42,16,22,2,92,,,,
78,Yusei Kikuchi,LAA,4,5,4.38,18,17,89,392,91,47,44,13,35,2,92,,,,
79,Mason Miller,SDP,2,0,2.02,39,0,42,161,22,10,9,3,15,1,72,,,,
80,Luis Severino,ATH,5,6,4.54,17,17,96,414,94,53,48,12,34,6,83,,,,
81,Blake Snell,LAD,5,3,3.6,11,11,57,241,45,25,23,6,26,1,72,,,,
82,Carlos Rodón,NYY,6,5,4.07,14,14,72,306,63,35,33,8,29,3,75,,,,
83,Luis Castillo,SEA,6,5,3.94,19,18,102,431,96,49,45,14,31,5,96,,,,
84,Emmet Sheehan,LAD,3,3,4.2,16,13,66,272,55,33,31,9,22,4,75,,,,
85,Louis Varland,TOR,5,3,3.31,35,7,68,281,60,27,25,7,19,2,70,,,,
86,Cade Cavalli,WSN,4,4,4.04,16,16,76,321,70,37,34,7,27,9,71,,,,
87,Chad Patrick,MIL,5,5,4.35,22,16,91,388,86,48,44,12,32,3,85,,,,
88,Logan Henderson,MIL,5,4,3.96,13,13,60,249,52,29,26,8,18,2,64,,,,
89,Dustin May,STL,6,6,3.98,16,14,86,361,77,41,38,9,28,7,74,,,,
90,Janson Junk,MIA,4,6,4.46,18,14,85,362,92,46,42,11,18,2,62,,,,
91,Justin Wrobleski,LAD,5,5,4.36,20,11,77,330,76,41,38,9,24,3,66,,,,
92,Cade Smith,CLE,5,2,2.56,45,0,46,183,34,14,13,3,13,3,61,,,,
93,Sean Burke,CHW,4,6,4.39,19,15,88,381,84,47,43,12,35,5,84,,,,
94,Brayan Bello,BOS,7,7,4.41,21,19,107,462,107,57,52,13,38,5,88,,,,
95,Brady Singer,CIN,6,9,4.93,20,20,105,452,106,63,58,17,33,7,96,,,,
96,Bubba Chandler,PIT,5,6,4.27,19,18,86,375,79,45,41,10,40,6,85,,,,
97,Eury Pérez,MIA,5,6,4.37,18,18,80,335,69,42,39,12,30,3,86,,,,
98,Zac Gallen,ARI,9,7,3.98,20,20,114,481,107,55,50,15,36,4,100,,,,
99,Eduardo Rodriguez,ARI,6,5,4.09,17,17,93,406,95,46,42,12,34,1,81,,,,
100,Chris Bassitt,BAL,6,7,4.3,20,17,100,434,102,52,48,12,35,8,86,,,,
101,Mick Abel,MIN,5,4,4.09,15,14,72,310,68,36,33,8,29,4,70,,,,
102,Brandon Pfaadt,ARI,5,5,4.4,20,17,97,412,99,52,48,13,25,5,88,,,,
103,Michael Soroka,ARI,6,4,3.69,17,13,73,304,63,32,30,7,24,6,71,,,,
104,Joe Boyle,TBR,4,4,4.19,16,14,68,294,56,34,31,7,37,4,75,,,,
105,Nathan Eovaldi,TEX,5,5,4.09,13,13,79,330,73,39,36,12,21,4,74,,,,
106,Connelly Early,BOS,5,5,4.32,18,16,81,347,76,42,39,10,30,8,81,,,,
107,Robby Snelling,MIA,4,4,4.29,13,13,65,281,65,34,31,8,23,2,59,,,,
108,Shane Smith,CHW,4,5,4.19,16,16,79,332,67,40,37,9,32,7,76,,,,
109,Jhoan Duran,PHI,6,2,2.46,41,0,41,165,31,12,11,2,12,2,52,,,,
110,Bryce Miller,SEA,4,3,4.04,13,13,69,288,63,34,31,9,19,3,62,,,,
111,Ryan Weathers,NYY,3,3,4.38,14,13,66,283,62,35,32,9,23,2,66,,,,
112,Matthew Liberatore,STL,5,6,4.32,21,17,94,400,92,49,45,12,30,3,82,,,,
113,Max Meyer,MIA,3,3,3.85,13,13,62,265,58,29,27,7,22,3,62,,,,
114,Grant Taylor,CHW,2,1,3.24,32,6,40,167,34,16,14,3,14,0,46,,,,
115,Nick Lodolo,CIN,4,5,4.62,15,15,78,329,74,44,40,11,23,11,80,,,,
116,Tatsuya Imai,HOU,4,4,4.25,14,14,72,307,64,37,34,11,29,3,81,,,,
117,Griffin Jax,TBR,4,3,3.41,44,3,47,194,39,19,18,4,15,1,58,,,,
118,Rhett Lowder,CIN,4,5,4.6,15,15,71,308,71,40,37,8,24,3,55,,,,
119,Joey Cantillo,CLE,4,4,4.06,21,14,73,319,66,36,33,9,34,1,77,,,,
120,Jonah Tong,NYM,5,5,4.2,14,13,63,271,57,32,29,8,27,1,70,,,,
121,Dietrich Enns,BAL,4,4,4.18,22,10,65,286,70,33,30,8,23,2,60,,,,
122,Edward Cabrera,CHC,5,4,4.09,17,17,88,372,75,44,40,12,34,5,91,,,,
123,Jack Perkins,ATH,4,3,3.65,17,7,53,222,44,23,22,5,20,5,57,,,,
124,Ian Seymour,TBR,4,5,4.22,25,11,77,322,70,39,36,11,23,5,76,,,,
125,Garrett Whitlock,BOS,4,2,3.24,31,3,45,186,39,18,16,5,12,2,53,,,,
126,Merrill Kelly,ARI,6,6,4.11,17,17,99,424,98,49,45,14,32,1,82,,,,
127,Cody Ponce,TOR,4,4,4.23,12,12,68,287,63,35,32,10,21,3,67,,,,
128,Andre Pallante,STL,6,7,4.41,21,17,93,406,94,50,46,9,36,3,69,,,,
129,Grayson Rodriguez,LAA,3,4,4.34,11,11,54,232,51,28,26,7,20,2,56,,,,
130,Andrew Morris,MIN,3,3,4.15,17,11,61,261,63,30,28,7,18,2,48,,,,
131,Emerson Hancock,SEA,4,4,4.25,19,16,86,364,83,44,40,12,26,5,75,,,,
132,Cade Horton,CHC,4,4,4.01,14,14,67,279,60,33,30,9,20,3,60,,,,
133,Gage Jump,ATH,4,4,4.13,14,13,59,250,57,29,27,7,18,4,53,,,,
134,Stephen Kolek,KCR,4,5,4.36,17,14,76,328,78,40,37,7,24,6,52,,,,
135,Sean Manaea,NYM,3,3,4.44,16,9,67,283,62,36,33,10,22,5,69,,,,
136,Foster Griffin,WSN,3,4,4.52,13,12,67,287,67,37,34,10,20,4,65,,,,
137,Kumar Rocker,TEX,4,4,4.27,13,12,57,246,56,30,27,7,20,2,52,,,,
138,Logan Allen,CLE,4,5,4.31,14,13,73,317,73,38,35,10,28,3,63,,,,
139,Simeon Woods Richardson,MIN,4,5,4.68,18,16,84,367,85,48,44,12,32,2,68,,,,
140,Dean Kremer,BAL,4,5,4.45,15,14,80,344,80,43,40,13,25,2,71,,,,
