#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
665,Jose Espada,BAL,1,1,4.43,11,0,0,1,0,12.2,55,12,7,6,2,6,0,0,13
666,RJ Petit,COL,1,2,4.77,19,0,0,2,0,19,83,20,11,10,3,7,0,1,16
667,Riley Cornelio,WSN,1,1,5.03,7,2,0,0,0,13,58,14,8,7,2,6,0,1,10
668,Tom Cosgrove,HOU,1,0,4.52,9,0,0,1,0,9.1,40,9,5,5,1,4,0,1,8
669,Joey Gerber,NYM,0,0,4.31,12,0,0,1,0,12.2,54,12,7,6,2,5,0,0,12
670,Tate Kuehner,MIL,1,1,4.2,8,0,0,1,0,8.2,39,8,4,4,1,4,0,1,8
671,Tyson Neighbors,BAL,1,1,4.4,13,0,0,1,0,13.2,59,13,7,7,2,6,0,1,14
672,Hunter Bigge,TBR,2,2,4.15,45,0,0,7,2,47.2,202,43,24,22,7,19,1,2,48
673,Drey Jameson,ARI,1,2,4.1,26,0,0,2,2,28.1,123,27,14,13,3,12,0,1,26
674,Alex Carrillo,NYM,1,2,4.35,19,0,0,1,0,20,87,18,11,10,3,9,0,1,21
675,Hogan Harris,ATH,3,3,4.24,53,0,11,11,2,62.2,271,57,32,29,7,29,2,3,60
676,Daison Acosta,SDP,0,0,4.3,9,0,0,1,0,9,39,8,5,4,1,5,0,0,9
677,Gunnar Hoglund,ATH,2,2,4.89,17,5,0,0,0,40.1,173,41,24,22,7,13,0,2,31
678,Josh Fleming,TOR,0,0,4.38,6,0,0,0,0,10,43,11,5,5,1,3,0,0,6
679,Grant Holman,PHI,1,1,4.33,18,0,0,1,2,18.1,80,18,10,9,2,8,0,1,16
680,Tyler Gilbert,CHW,2,2,4.4,34,0,0,3,1,36.2,158,35,19,18,5,14,1,2,33
681,Sauryn Lao,,0,0,4.04,4,0,0,0,0,5.1,23,5,3,2,1,2,0,0,5
682,Victor Mederos,ATL,1,2,4.87,19,1,0,1,1,23.2,105,24,14,13,3,10,0,2,19
683,Riley Gowens,CHW,1,1,4.44,11,0,0,1,0,11,47,10,6,5,2,4,0,1,10
684,Scott Alexander,SFG,1,1,4.23,26,0,0,3,1,24.2,105,24,13,12,3,8,1,1,17
685,Walbert Ureña,LAA,1,2,4.79,23,1,0,1,0,26.2,119,27,15,14,3,13,1,1,21
686,Emiliano Teodo,TEX,1,1,4.45,13,0,0,1,0,13,57,11,7,6,1,8,0,1,13
687,Eric Cerantola,KCR,1,1,4.5,12,0,0,1,0,12.1,55,11,7,6,1,7,0,1,12
688,Jake Bloss,TOR,1,1,4.56,12,0,0,1,0,13.1,57,13,7,7,2,5,0,0,12
689,Jake Eder,LAD,1,1,4.6,15,0,0,1,0,17.1,76,17,10,9,2,7,0,1,14
690,Drew Smith,MIN,1,2,4.4,30,0,0,3,0,30.1,131,28,16,15,4,13,1,1,31
691,Angel Perdomo,,1,1,4.39,11,0,0,0,0,11,48,9,6,5,1,6,0,1,12
692,Jorge Alcala,TOR,1,1,4.78,18,0,0,1,1,18.2,80,17,11,10,3,8,0,1,19
693,Joel Peguero,SFG,2,2,4.33,42,0,3,6,1,44.1,193,44,23,21,5,19,1,2,36
694,A.J. Causey,ATH,1,1,4.48,8,0,0,1,0,8.1,37,8,5,4,1,3,0,1,7
695,Duncan Davitt,CHW,0,1,4.42,14,0,0,1,0,16.2,72,17,9,8,2,5,0,1,14
696,Yunior Marte,CIN,0,0,4.91,7,0,0,0,0,7.2,34,8,5,4,1,3,0,0,7
697,Chayce McDermott,LAD,0,1,4.69,9,1,0,0,0,12.2,56,11,7,7,2,7,0,1,12
698,James Karinchak,ATL,1,1,4.46,20,0,0,1,0,20.2,90,18,11,10,3,11,0,1,24
699,Josh Staumont,,1,1,4.77,10,0,0,1,0,10,44,9,6,5,1,5,0,1,10
700,Vince Velasquez,CHC,0,0,4.5,6,0,0,1,0,6,26,6,3,3,1,3,0,0,6
701,Shinnosuke Ogasawara,WSN,0,0,4.6,6,0,0,1,0,7,31,7,4,4,1,2,0,0,5
702,Lazaro Estrada,TOR,1,1,4.45,15,0,0,1,0,19,82,19,10,9,3,6,0,1,18
703,Blake Walston,ARI,1,1,4.85,5,1,0,1,0,9.1,43,10,6,5,1,5,0,1,9
704,Adisyn Coffey,CHW,0,1,4.51,8,0,0,1,0,8,34,8,4,4,1,3,0,0,7
705,Albert Suárez,BAL,1,1,4.36,18,0,0,1,1,21.1,91,21,11,10,3,7,1,1,18
706,T.J. McFarland,,1,1,4.52,26,0,0,2,1,21.1,94,23,12,11,2,7,0,1,15
707,Tommy Kahnle,BOS,1,3,4.39,41,0,1,6,2,40.1,176,38,21,20,5,19,0,2,35
708,Wilber Dotel,PIT,1,1,4.56,11,0,0,1,0,11.2,51,12,6,6,2,5,0,1,10
709,Seth Martinez,BOS,1,1,4.66,11,0,0,1,0,11.2,51,12,7,6,2,5,0,1,10
710,Jose Franco,CIN,1,1,4.75,13,0,0,1,0,13,57,12,7,7,2,6,0,1,12
711,Tejay Antone,CIN,0,1,5.01,13,0,0,1,0,13.2,60,14,8,8,2,6,0,1,12
712,Shane Murphy,CHW,1,1,4.44,14,0,0,1,0,15.2,66,16,8,8,2,4,0,0,11
713,Cade Winquest,STL,2,2,4.64,26,0,0,2,0,30.1,131,30,17,16,4,11,1,2,25
714,Francis Peña,SDP,1,1,4.38,7,0,0,1,0,6.2,30,7,4,3,1,3,0,0,5
715,Alexander Alberto,TBR,0,0,4.82,11,0,0,1,0,11.1,49,12,7,6,2,4,0,1,9
716,Chad Green,,1,1,4.58,27,0,0,1,1,28.1,121,28,16,14,5,9,1,1,25
717,Jackson Rutledge,PHI,2,2,4.65,33,0,1,3,1,38,165,37,21,20,6,15,0,3,33
718,Jaden Woods,PIT,0,1,5.01,9,0,0,1,0,9,40,9,5,5,1,4,0,0,7
719,Zach Pop,PHI,1,1,4.59,18,0,0,2,0,18.1,80,19,10,9,2,7,0,1,14
720,Tyler Mattison,DET,1,1,4.63,9,0,0,1,0,9,39,8,5,5,1,5,0,0,8
721,Casey Lawrence,SEA,0,1,5.27,2,1,0,0,0,7.2,33,9,5,4,1,2,0,0,4
722,Mike Clevinger,PIT,1,2,4.79,18,2,0,0,0,28.1,123,29,16,15,4,11,0,1,23
723,Alex Hoppe,SEA,0,1,4.29,11,0,0,1,0,11.2,51,11,6,6,1,6,0,0,10
724,Casey Legumina,TBR,3,3,4.27,45,0,0,3,1,47.2,203,44,25,23,6,19,1,2,45
725,Jesse Scholtens,TBR,1,1,4.4,23,0,0,1,0,30.2,130,30,16,15,5,10,1,1,28
726,David Sandlin,CHW,1,1,4.46,15,0,0,1,0,15.2,68,16,8,8,2,5,0,1,14
727,Daysbel Hernández,ATL,2,2,4.24,28,0,0,4,1,29,128,26,15,14,3,17,1,1,30
728,Juan Burgos,ARI,1,1,4.5,22,0,0,2,2,23.1,102,23,13,12,3,10,1,1,19
729,Domingo Gonzalez,SEA,1,1,4.3,15,0,0,1,0,15.1,67,14,8,7,2,7,0,1,15
730,Mike Vasil,CHW,1,1,4.46,10,0,0,0,0,13.2,59,13,7,7,2,6,0,1,11
731,Taylor Rashi,ARI,1,1,4.11,13,0,0,0,1,21.2,94,21,11,10,3,10,0,1,19
732,Robby Ahlstrom,TEX,0,0,4.82,6,0,0,1,0,6.2,30,7,4,4,1,3,0,0,6
733,Tanner Rainey,DET,0,0,4.59,11,0,0,1,0,11.1,49,10,6,6,1,6,0,1,11
734,Andrew Walters,CLE,1,1,4.18,25,0,0,1,0,24.2,106,21,13,12,4,12,0,1,27
735,Tyler Schweitzer,CHW,1,1,4.57,12,0,0,1,0,12.2,55,13,7,6,2,5,0,0,9
736,Jake Miller,CLE,1,1,4.63,10,0,0,1,0,10,43,10,6,5,1,4,0,0,8
737,Michael Darrell-Hicks,PIT,0,0,4.67,7,0,0,1,1,8,35,8,4,4,1,3,0,1,6
738,Brandon Waddell,NYM,1,1,4.53,8,0,0,0,0,16,69,15,9,8,2,7,0,1,13
739,Eric Torres,BAL,0,0,5.1,5,0,0,1,0,5.1,25,5,3,3,1,3,0,0,5
740,Carson Palmquist,WSN,1,2,5.28,17,1,0,1,0,24,107,24,15,14,4,12,0,2,23
741,Guillo Zuñiga,NYM,0,0,4.5,6,0,0,1,0,6,25,6,3,3,1,2,0,0,5
742,Konnor Pilkington,DET,1,1,4.24,23,0,0,2,1,24.2,109,22,13,12,3,13,0,1,24
743,Gavin Hollowell,CHC,1,1,4.41,19,0,0,1,0,20.1,89,19,11,10,3,10,0,1,20
744,Cole Wilcox,SEA,1,1,4.31,17,0,0,1,0,19,82,18,10,9,2,7,0,1,15
745,Michael Petersen,MIA,1,1,4.5,27,0,0,2,1,29.1,127,28,16,15,4,12,1,1,27
746,Joel Hurtado,LAA,0,1,4.99,6,0,0,0,0,7,31,8,4,4,1,3,0,1,5
747,Angel Chivilli,NYY,1,1,4.61,19,0,0,1,1,21,91,21,12,11,3,8,0,1,18
748,Cole Winn,TEX,3,3,4.38,56,0,4,12,1,63.1,275,59,34,31,7,28,2,4,55
749,Valente Bellozo,COL,0,1,5.14,12,0,0,1,0,15,65,16,9,9,3,4,0,0,11
