#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO
294,Anthony Nunez,BAL,2,2,3.95,40,0,40.1,174,36,19,18,5,18,2,43
295,Eduard Bazardo,SEA,2,2,3.78,40,0,40.1,171,36,18,17,5,15,2,41
296,Phil Maton,CHC,2,2,3.86,40,0,40.1,173,36,19,17,4,17,3,42
297,Michael Petersen,MIA,2,2,4.26,40,0,40.1,174,38,20,19,5,17,2,38
298,Luis Gil,NYY,2,2,4.44,21,4,40,176,36,21,20,6,20,2,39
299,George Soriano,STL,2,2,4.19,40,0,40,175,38,20,19,5,18,2,35
300,Joel Kuhnel,ATH,2,2,4.09,40,0,40,172,43,20,18,4,12,2,28
301,Tim Mayza,PHI,2,2,3.8,40,0,40,171,39,18,17,4,15,2,35
302,Brent Headrick,NYY,2,2,3.8,40,0,40,170,36,18,17,5,14,2,41
303,Nick Mears,KCR,2,2,4.25,40,0,40,173,38,20,19,5,17,1,39
304,Huascar Brazobán,NYM,2,2,3.85,40,0,40,172,36,19,17,4,19,2,38
305,Joel Peguero,SFG,2,2,4.45,40,0,40,176,41,21,20,4,18,2,30
306,Zach Agnos,COL,2,3,5.72,25,3,40,181,46,27,25,7,17,2,29
307,Nate Pearson,HOU,2,2,4.36,40,0,39.2,174,36,21,19,5,20,2,40
308,Grant Anderson,MIL,2,2,4.16,40,0,39.2,171,37,20,18,5,17,2,39
309,Danny Coulombe,BOS,2,2,4.08,40,0,39.2,172,38,19,18,5,16,2,37
310,Juan Morillo,ARI,2,2,4.04,40,0,39.2,173,37,19,18,4,20,2,37
311,Ron Marinaccio,SDP,2,2,4.29,40,0,39.2,173,37,20,19,5,18,2,36
312,Luis Morales,ATH,2,2,4.73,25,3,39.2,174,39,22,21,6,18,2,34
313,Pete Fairbanks,MIA,2,2,3.51,40,0,39.2,166,33,17,15,4,16,2,44
314,Will Vest,DET,2,2,3.22,40,0,39.2,165,35,16,14,3,13,1,41
315,Andrew Kittredge,BAL,2,2,3.82,40,0,39.2,166,38,18,17,5,12,1,39
316,Caleb Thielbar,CHC,2,2,3.71,40,0,39.2,167,34,18,16,5,16,1,42
317,Yoendrys Gómez,MIN,2,2,4.23,40,0,39.2,172,36,20,19,5,17,2,40
318,Brennan Bernardino,COL,2,2,4.49,40,0,39.2,175,41,21,20,5,17,2,35
319,Yohan Ramírez,PIT,2,2,3.98,40,0,39.2,173,37,19,17,4,18,4,40
320,Cole Henry,WSN,2,2,4.71,40,0,39.2,177,37,22,21,6,21,3,37
321,Jalen Beeks,TEX,2,2,3.88,39,0,39.1,169,37,18,17,4,16,2,36
322,Will Klein,LAD,2,2,3.85,39,0,39.1,170,34,18,17,4,21,2,43
323,John Schreiber,KCR,2,2,4.3,39,0,39.1,171,39,20,19,5,16,2,34
324,Ryan Thompson,ARI,2,2,4.14,39,0,39,169,40,20,18,4,14,2,31
325,Tejay Antone,CIN,2,2,4.29,39,0,39,170,38,20,19,5,17,2,35
326,Gabe Speier,SEA,2,2,3.3,39,0,39,161,33,16,14,4,13,2,43
327,Andrew Nardi,MIA,2,2,3.59,39,0,39,165,32,17,16,4,18,2,46
328,Kirby Yates,LAA,2,2,3.84,39,0,39,166,32,18,17,5,19,2,46
329,Tyler Wells,BAL,2,2,4,39,0,39,163,37,18,17,6,10,1,38
330,Braydon Fisher,TOR,2,2,3.81,39,0,39,168,34,18,16,4,18,2,43
331,Dylan Dodd,ATL,2,2,3.64,39,0,39,163,38,17,16,5,10,1,36
332,Chase Silseth,LAA,2,2,4.07,39,0,39,168,36,19,18,4,18,2,38
333,Justin Bruihl,STL,2,2,4.08,39,0,38.2,170,39,19,18,4,17,3,31
334,Chris Martin,TEX,2,2,3.52,39,0,38.2,160,37,16,15,4,9,2,37
335,Orion Kerkering,PHI,2,2,3.51,39,0,38.2,162,33,16,15,4,15,2,42
336,Justin Sterner,ATH,2,2,4.25,39,0,38.2,166,36,19,18,5,15,2,38
337,Colin Holderman,CLE,2,2,3.74,39,0,38.2,165,35,17,16,4,16,2,39
338,Garrett Whitlock,BOS,2,2,3.37,38,0,38.1,159,33,16,14,4,12,2,43
339,Yennier Cano,BAL,2,2,3.68,38,0,38.1,163,36,17,16,4,15,2,36
340,Andrew Morris,MIN,2,2,3.94,38,0,38.1,162,38,18,17,4,11,1,33
341,Brent Suter,LAA,2,2,4.06,38,0,38.1,165,39,19,17,5,13,2,31
342,Richard Lovelady,WSN,2,2,3.98,38,0,38.1,166,37,18,17,4,16,2,33
343,A.J. Minter,NYM,2,2,3.36,38,0,38,159,32,15,14,4,14,2,42
344,Matt Gage,SFG,2,2,3.93,38,0,38,165,37,18,17,4,16,1,33
345,Wilber Dotel,PIT,2,2,4.6,28,2,38,166,38,21,19,5,16,2,31
346,Hunter Bigge,TBR,2,2,4.34,38,0,37.2,165,35,19,18,5,18,2,37
347,Jovani Morán,BOS,2,2,3.68,38,0,37.2,161,33,17,15,4,17,1,42
348,Evan Sisk,PIT,2,2,3.66,38,0,37.2,162,34,17,15,3,17,2,37
349,Eric Orze,MIN,2,2,4.14,38,0,37.2,164,35,19,17,4,18,2,36
350,Calvin Faucher,MIA,2,2,4.02,38,0,37.2,165,35,18,17,4,19,2,38
351,Hoby Milner,CHC,2,2,3.94,38,0,37.2,162,38,18,16,4,13,2,29
352,José Fermin,LAA,2,2,4.26,38,0,37.2,165,33,19,18,5,21,2,40
353,Alex Lange,KCR,2,2,4.13,37,0,37.1,165,34,19,17,4,20,2,39
354,Tim Herrin,CLE,2,2,3.94,37,0,37.1,163,33,18,16,4,19,2,39
355,Cal Quantrill,TEX,2,2,4.37,28,2,37.1,160,38,19,18,5,12,2,31
356,Bradgley Rodriguez,SDP,2,2,3.93,37,0,37,160,34,18,16,4,17,2,34
357,Mason Fluharty,TOR,2,2,3.73,37,0,37,159,32,17,15,4,16,2,39
358,Sam Aldegheri,LAA,2,2,4.88,23,3,37,164,38,21,20,5,17,2,27
359,Sam Hentges,SFG,2,2,3.47,37,0,36.2,156,32,16,14,3,16,1,38
360,Blake Treinen,LAD,2,2,3.81,37,0,36.2,156,32,17,16,4,15,2,39
361,Jordan Leasure,CHW,2,2,4.06,37,0,36.2,158,31,18,17,5,18,1,40
362,Craig Kimbrel,TBR,2,2,4,36,0,36.1,157,30,17,16,4,18,2,42
363,Sam Moll,CIN,2,2,3.97,36,0,36.1,158,33,17,16,4,17,2,36
364,Wandy Peralta,SDP,2,2,3.75,36,0,36.1,158,35,17,15,3,17,2,32
365,Cole Sands,MIN,2,2,3.87,36,0,36.1,154,34,17,16,4,12,2,36
366,Keegan Akin,BAL,2,2,3.9,36,0,36.1,155,33,17,16,5,14,1,37
367,Brenan Hanifee,DET,2,2,3.86,36,0,36.1,155,38,17,16,3,11,1,27
368,Justin Lawrence,PIT,2,2,4.02,36,0,36.1,159,34,18,16,4,18,2,36
369,John King,MIA,2,2,3.94,36,0,36.1,157,38,17,16,3,13,1,26
370,Anthony Banda,MIN,2,2,4.04,36,0,36.1,158,34,18,16,4,17,2,35
371,Seth Halvorsen,COL,2,2,4.69,36,0,36.1,161,37,20,19,4,19,2,33
372,Ryan Rolison,CHC,2,2,4.17,36,0,36.1,158,36,18,17,4,16,1,29
373,Orlando Ribalta,WSN,2,2,4.62,36,0,36.1,161,35,20,19,5,18,2,32
374,Germán Márquez,SDP,2,2,4.7,13,5,36.1,157,38,20,19,6,13,1,28
375,Carson Whisenhunt,SFG,2,2,4.25,12,5,36,157,36,18,17,4,14,2,28
376,Eric Lauer,LAD,2,2,4.58,27,2,36,156,36,19,18,6,13,1,32
