Player_ID,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
225,Luis Torrens,NYM,61,168,184,40,26,10,1,4,17,21,12,0,41,2,1,1,1,1,0.239
226,Ha-Seong Kim,ATL,64,221,253,53,39,9,1,5,29,24,27,1,46,2,1,1,10,2,0.238
227,Leo Rivas,SEA,76,221,267,46,35,6,1,3,33,23,37,0,69,3,2,4,11,2,0.208
228,Ryan Ward,LAD,76,299,328,69,39,13,2,14,43,46,25,1,84,2,2,0,4,2,0.229
229,Dylan Crews,WSN,63,227,252,54,37,8,2,7,33,28,18,0,57,5,1,0,11,3,0.239
230,Nathaniel Lowe,CIN,97,334,376,87,57,15,1,14,42,53,37,1,90,2,2,0,1,1,0.261
231,Gabriel Gonzalez,MIN,71,269,295,74,48,18,2,6,32,37,18,0,52,6,2,0,3,2,0.273
232,Colton Cowser,BAL,84,272,309,63,40,13,1,10,38,38,30,1,98,4,2,0,8,2,0.23
233,Luke Raley,SEA,76,218,248,52,31,10,1,10,31,35,18,0,78,10,1,1,4,1,0.241
234,Kody Clemens,MIN,79,249,276,57,31,13,2,10,33,35,20,1,66,4,1,1,5,1,0.23
235,Christian Yelich,MIL,84,315,360,80,54,13,2,12,50,48,40,4,92,2,2,0,10,2,0.253
236,Gabriel Arias,CLE,73,231,252,54,33,12,1,8,26,28,15,1,78,3,1,1,4,2,0.233
237,CJ Kayfus,CLE,73,248,281,62,36,14,4,8,35,36,27,0,79,5,2,1,3,1,0.251
238,J.C. Escarra,NYY,58,184,206,42,26,10,2,4,23,24,18,0,37,2,1,0,1,1,0.23
239,Jasson Domínguez,NYY,71,245,273,62,41,11,1,9,39,35,25,1,68,2,2,0,13,2,0.253
240,George Springer,TOR,85,316,358,79,50,14,1,13,49,44,37,1,71,4,2,0,7,2,0.249
241,Colt Keith,DET,91,317,349,83,55,18,1,8,45,40,29,1,79,2,2,0,2,1,0.262
242,Royce Lewis,MIN,70,245,270,57,36,12,0,10,30,37,21,1,63,2,2,0,7,1,0.234
243,Jonathan India,KCR,81,283,332,68,44,15,1,7,42,32,37,0,62,9,2,1,2,2,0.24
244,Addison Barger,TOR,77,264,295,63,36,16,1,10,35,42,26,1,70,2,2,0,2,1,0.239
245,Carlos Cortes,ATH,76,247,275,63,40,14,1,8,30,33,25,0,53,2,2,0,1,1,0.256
246,Shay Whitcomb,HOU,75,262,287,60,37,11,1,12,36,40,20,1,89,3,2,0,7,2,0.229
247,James Outman,MIN,92,270,308,59,33,13,3,11,44,33,31,1,106,5,2,0,10,2,0.218
248,Andrés Chaparro,WSN,67,233,259,56,34,12,1,9,29,33,22,1,61,3,2,0,1,0,0.241
249,Johnathan Rodríguez,BAL,73,256,284,66,43,11,1,10,31,36,25,1,79,2,2,0,1,1,0.257
250,Bryan Reynolds,PIT,102,380,432,95,63,19,2,11,49,52,44,2,105,6,2,0,4,1,0.251
251,Oliver Dunn,TBR,71,234,265,51,32,12,2,5,29,25,24,0,89,3,2,2,7,2,0.217
252,Brett Harris,ATH,58,196,224,46,32,8,1,5,26,27,21,0,45,5,1,1,3,1,0.233
253,Kyle Karros,COL,86,296,334,73,51,16,2,4,41,33,32,1,78,3,2,0,4,1,0.248
254,Henry Bolte,ATH,74,274,308,67,45,13,3,6,36,40,26,0,108,6,2,0,16,4,0.244
255,Brandon Valenzuela,TOR,73,251,278,53,35,10,1,8,27,31,24,1,76,1,1,0,2,1,0.21
256,Brandon Lockridge,MIL,71,218,245,56,41,10,2,2,29,26,21,0,64,2,1,3,14,2,0.255
257,Austin Martin,MIN,71,224,263,58,44,11,1,2,30,22,31,0,41,6,2,1,11,4,0.261
258,Jahmai Jones,DET,77,198,230,48,28,11,2,7,32,29,24,1,56,6,1,1,4,2,0.243
259,Owen Caissie,MIA,85,300,340,74,45,17,1,10,40,45,33,1,113,3,3,0,4,2,0.247
260,Edmundo Sosa,PHI,66,176,190,44,29,9,1,5,23,25,7,0,42,4,1,1,3,1,0.25
261,Will Benson,CIN,87,239,276,54,31,10,3,10,38,34,32,1,82,3,1,1,6,3,0.226
262,Connor Norby,MIA,85,319,353,80,51,17,1,10,45,40,27,0,96,5,2,0,8,2,0.25
263,Cam Smith,HOU,93,301,338,71,47,14,2,8,38,36,30,0,89,4,2,0,6,1,0.235
264,Vinnie Pasquantino,KCR,101,376,421,93,56,19,1,17,43,60,39,2,65,4,4,0,2,0,0.246
265,Daniel Susac,SFG,63,226,243,56,39,9,2,6,20,31,13,0,67,3,1,0,2,2,0.248
266,Jeferson Quero,MIL,48,184,202,42,29,7,0,6,22,25,15,0,40,2,1,0,1,0,0.23
