#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
612,Jerar Encarnacion,SFG,36,125,136,28,19,5,0,4,15,16,9,0,42,1,1,0,1,0,0.224
613,Nick Castellanos,SDP,83,311,336,77,51,15,1,11,39,41,19,0,78,3,3,0,3,1,0.249
614,Grant McCray,SFG,20,57,62,12,8,2,0,1,7,6,5,0,20,0,0,1,2,0,0.21
615,Matthew Lugo,LAA,19,62,66,14,9,3,0,2,7,7,3,0,20,0,0,0,1,0,0.22
616,Matt Koperniak,STL,10,31,34,7,6,1,0,0,4,4,2,0,7,0,0,0,0,0,0.23
617,Justyn-Henry Malloy,TBR,34,105,123,25,17,5,0,3,14,14,15,0,34,2,1,0,1,0,0.236
618,Michael Conforto,CHC,43,145,166,32,21,6,0,5,19,18,17,0,41,2,1,0,0,0,0.22
619,Blaine Crim,TEX,40,139,155,34,22,7,0,5,18,19,13,1,37,1,2,0,1,0,0.247
620,Ryan Vilade,TBR,44,135,150,31,21,6,1,3,16,15,12,0,38,1,1,0,2,1,0.227
621,Bryce Eldridge,SFG,81,292,327,68,42,14,0,12,34,41,29,2,99,2,4,0,2,1,0.231
622,Troy Johnston,COL,59,201,221,50,34,10,1,5,25,24,15,0,47,4,1,0,6,2,0.25
623,Pedro León,PHI,8,27,30,6,3,1,0,1,3,3,2,0,9,0,0,0,1,0,0.209
624,Jeimer Candelario,LAA,34,122,135,25,15,6,0,4,13,14,10,0,39,2,1,0,1,0,0.204
625,Bryce Johnson,SDP,52,139,157,31,23,6,1,2,17,12,12,0,42,2,1,3,5,1,0.222
626,Zac Veen,COL,32,108,119,26,17,5,1,3,13,12,9,0,30,1,1,0,4,1,0.236
627,Orelvis Martinez,,18,64,70,13,8,3,0,2,7,8,5,0,20,1,0,0,0,0,0.2
628,Christian Encarnacion-Strand,BAL,26,84,90,20,14,3,0,3,11,12,5,0,24,1,0,0,0,0,0.237
629,John Rave,KCR,30,93,104,20,13,4,1,2,12,9,9,0,27,0,1,1,3,1,0.218
630,Brice Matthews,HOU,16,54,61,11,8,2,0,2,7,6,5,0,21,1,0,1,2,1,0.213
631,Deyvison De Los Santos,MIA,21,77,82,18,12,3,0,3,8,9,4,0,21,1,1,0,1,0,0.233
632,Jose Fernandez,ARI,66,268,287,68,47,13,2,6,32,32,13,0,65,2,2,2,4,1,0.252
633,Aramis Garcia,ARI,3,11,13,3,2,1,0,0,1,1,1,0,3,0,0,0,0,0,0.24
634,Henry Bolte,ATH,56,220,243,53,36,10,0,6,29,24,20,0,79,2,1,0,10,2,0.239
635,Alika Williams,ATH,19,76,82,19,15,3,0,1,10,5,5,0,16,0,0,1,0,0,0.247
636,Sandy León,ATL,19,69,75,10,8,1,0,1,6,6,5,0,25,0,0,0,0,0,0.15
637,Rikuu Nishida,CHW,39,150,169,36,24,7,1,5,20,19,16,1,37,2,1,1,3,1,0.24
638,Hao-Yu Lee,DET,10,41,45,10,7,2,0,1,5,5,4,0,10,1,0,0,1,0,0.238
639,Zack Short,DET,6,24,27,4,3,0,0,0,2,2,3,0,9,0,0,0,0,0,0.156
640,Braden Shewmake,HOU,33,134,144,28,20,6,0,2,16,13,9,0,30,1,1,0,4,1,0.211
641,A.J. Ewing,NYM,57,219,247,52,35,10,1,7,29,27,23,1,55,3,2,1,5,1,0.24
642,Hayden Senger,NYM,7,27,29,5,4,1,0,0,2,2,2,0,9,0,0,0,0,0,0.2
643,Rodolfo Durán,SDP,16,59,63,13,10,2,0,1,5,8,4,0,15,0,0,0,0,0,0.218
644,Charles McAdoo,TOR,18,68,77,16,11,3,0,2,9,9,7,0,17,1,1,0,1,0,0.24
645,Yohendrick Piñango,TOR,20,77,86,18,12,4,0,2,9,9,7,0,19,1,1,0,1,0,0.23
646,Steward Berroa,PHI,1,4,5,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0.212
647,Donovan Walton,LAA,16,62,68,13,9,2,0,2,7,6,4,0,11,1,0,1,0,0,0.214
648,Gage Workman,DET,5,20,23,5,3,1,0,1,3,3,2,0,5,0,0,0,0,0,0.24
649,Oliver Dunn,TBR,4,17,19,3,2,1,0,0,2,1,2,0,6,0,0,0,0,0,0.205
650,Chad Stevens,COL,8,32,36,8,5,2,0,1,4,4,3,0,8,0,0,0,1,0,0.24
651,Victor Bericoto,SFG,17,68,73,16,13,2,0,1,10,9,4,0,17,0,0,0,0,0,0.239
652,Weston Wilson,BAL,15,57,64,12,8,2,0,2,8,6,6,0,18,0,0,0,1,1,0.212
653,Nick Morabito,NYM,6,25,27,6,5,1,0,0,4,2,2,0,7,0,0,0,1,0,0.241
654,Pedro Ramírez,CHC,19,72,82,17,11,3,0,2,9,9,8,0,18,1,1,0,1,0,0.24
655,Jase Bowen,SDP,6,26,28,5,4,1,0,0,4,3,2,0,8,0,0,0,0,0,0.211
656,Jacob Gonzalez,CHW,6,24,27,6,4,1,0,1,3,3,3,0,6,0,0,0,1,0,0.24
657,Ryan Ward,LAD,13,50,55,11,7,2,0,2,6,7,4,0,14,0,0,0,0,0,0.217
658,Patrick Wisdom,SEA,5,20,23,4,3,0,0,1,3,4,2,0,8,0,0,0,0,0,0.193
659,P.J. Higgins,CIN,7,27,30,6,5,1,0,0,2,2,2,0,7,0,0,0,0,0,0.219
660,LuJames Groover,ARI,20,76,86,18,12,4,0,2,10,10,8,0,19,1,1,0,2,1,0.242
661,Ali Sánchez,NYY,9,31,35,8,5,1,0,1,4,4,3,0,8,0,0,0,1,0,0.242
662,Anthony Seigler,BOS,12,45,52,10,8,2,0,1,7,3,6,0,11,0,0,0,1,0,0.223
663,Samad Taylor,SDP,26,100,111,23,18,4,0,0,12,10,9,0,22,0,0,2,4,0,0.231
