#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
561,Bryse Wilson,PHI,0,0,5.44,1,1,0,0,,5,22,6,3,3,1,2,0,0,3
562,Stephen Jones,MIA,0,0,4.77,5,0,0,0,,3.2,16,4,2,2,0,2,0,0,3
563,Ben Peoples,CHW,0,0,4.37,13,0,0,0,,8.2,38,8,5,4,1,4,0,0,8
564,Max Kranick,WSN,0,0,4.73,10,0,0,0,,6,26,6,3,3,1,2,0,0,4
565,Chad Dallas,TOR,1,1,4.81,11,1,0,0,,15,65,14,9,8,2,7,0,1,13
566,Johan Oviedo,BOS,0,0,4.43,11,0,0,0,,7.2,34,7,4,4,1,4,0,1,8
567,James McArthur,KCR,0,0,4.72,8,0,0,0,,5.2,25,6,3,3,1,2,0,0,5
568,Colin Selby,BAL,1,1,4.58,22,0,0,0,,14.2,64,14,8,7,2,7,0,1,14
569,Drew Pomeranz,LAA,1,1,4.84,33,0,0,5,,24.1,107,24,14,13,4,9,1,2,24
570,Carlos Vargas,SEA,0,0,4.47,5,0,0,0,,4,18,4,2,2,0,2,0,0,3
571,Tate Kuehner,MIL,0,0,4.15,9,0,0,0,,7,31,6,3,3,1,4,0,0,7
572,AJ Smith-Shawver,ATL,0,0,4.54,5,0,0,0,,3.1,15,3,2,2,0,2,0,0,4
573,Jake Cousins,LAD,0,0,4.37,5,0,0,0,,3.1,14,3,2,2,0,2,0,0,4
574,Samy Natera Jr.,LAA,0,0,4.44,14,0,0,0,,10,44,8,5,5,1,6,0,1,12
575,Sammy Peralta,COL,1,1,5.33,19,0,0,0,,14,63,16,9,8,2,5,1,1,11
576,Victor Vodnik,COL,1,1,5.1,27,0,2,0,,20,92,22,12,11,2,11,1,0,18
577,Zach Maxwell,CIN,1,1,4.81,28,0,0,0,,19.1,86,18,11,10,3,11,1,1,21
578,Jordan Romano,COL,0,0,5.19,12,0,0,0,,8.2,39,9,5,5,1,3,0,1,9
579,Tucker Davidson,PHI,0,0,5.6,1,1,0,0,,5,23,6,3,3,1,2,0,0,3
580,Jake Bloss,TOR,0,0,4.53,7,0,0,0,,5,21,4,3,2,1,2,0,0,5
581,Evan Fitterer,SDP,0,0,4.2,9,0,0,0,,6.1,28,6,3,3,1,4,0,0,5
582,Angel Chivilli,NYY,1,1,4.56,20,0,0,0,,13.2,60,14,8,7,2,5,0,1,12
583,Keegan Akin,BAL,1,1,4.61,37,0,0,5,,25,108,24,14,13,4,9,1,1,22
584,Emilio Pagán,CIN,1,1,4.39,32,0,11,4,,22.1,94,19,12,11,4,9,0,1,22
585,Brock Burke,CIN,1,1,4.72,41,0,1,8,,28.2,125,29,16,15,4,9,1,1,24
586,Garrett Acton,MIN,1,1,4.81,21,0,0,0,,13.2,60,13,8,7,2,6,1,1,13
587,Tobias Myers,NYM,2,1,4.82,38,1,0,7,,42.1,184,42,24,23,7,16,1,1,34
588,Jhony Brito,SDP,1,1,4.64,17,0,0,0,,11,48,11,6,6,1,4,0,0,7
589,Joey Gerber,NYM,1,1,4.74,24,0,0,0,,16.2,73,16,9,9,3,7,1,1,16
590,Daniel Duarte,NYM,1,1,4.5,30,0,0,0,,21,92,20,11,10,2,10,1,1,17
591,Craig Yoho,MIL,1,1,4.43,23,0,0,0,,15.2,68,14,8,8,2,7,0,1,17
592,Michael Grove,TBR,0,0,5,11,0,0,0,,7.2,34,8,5,4,1,3,0,0,8
593,Christian Roa,CHC,0,0,4.35,7,0,0,0,,5,22,4,3,2,0,3,0,0,4
594,Eduarniel Núñez,BAL,1,1,4.6,20,0,0,0,,13,59,12,7,7,1,8,0,1,14
595,Yosver Zulueta,SEA,0,0,4.68,6,0,0,0,,5,22,5,3,3,1,3,0,0,5
596,Rafael Montero,NYY,0,0,4.44,4,0,0,0,,2.2,12,3,1,1,0,1,0,0,3
597,Brandon Eisert,CHW,1,1,4.54,34,0,0,4,,24.1,104,23,13,12,4,9,1,1,21
598,Hayden Harris,ATL,1,1,5.12,33,0,0,3,,22.1,99,23,14,13,3,10,0,1,23
599,Drey Jameson,ARI,1,0,4.79,15,0,0,0,,11,49,11,6,6,1,5,0,1,9
600,Wandy Peralta,SDP,1,1,4.02,36,0,0,5,,24.1,105,22,12,11,2,10,1,2,18
601,Geoff Hartlieb,ATH,0,0,4.93,5,0,0,0,,3.2,17,4,2,2,1,2,0,0,4
602,Jalen Beeks,TEX,1,1,4.44,40,0,1,8,,26,114,25,14,13,3,11,1,1,20
603,Chris Devenski,PIT,1,1,5.01,26,0,0,0,,18.2,81,19,11,10,3,7,0,1,16
604,Trevor Williams,WSN,1,1,5.29,15,1,0,0,,18,79,20,11,11,3,6,0,1,14
605,Ronan Kopp,LAD,0,0,4.33,7,0,0,0,,4.2,21,4,2,2,0,3,0,0,5
606,Andre Granillo,WSN,1,1,4.68,18,0,0,0,,11.2,51,11,7,6,2,6,0,0,10
607,Jake Miller,CLE,0,0,4.53,5,0,0,0,,3.2,16,3,2,2,1,2,0,0,3
608,Taylor Clarke,ARI,2,1,4.53,42,0,0,9,,30,129,30,16,15,4,10,1,1,21
609,Landon Knack,LAD,0,0,4.71,4,0,0,0,,2.2,11,2,1,1,0,1,0,0,2
610,Zach Brzykcy,MIA,0,0,4.62,10,0,0,0,,7.1,32,7,4,4,1,4,0,0,7
611,Gus Varland,WSN,1,1,5.14,41,0,6,7,,28,125,29,17,16,4,12,1,2,25
612,Chen Zhong-Ao Zhuang,ATH,0,0,5,7,0,0,0,,5.1,23,5,3,3,1,2,0,0,4
613,Joe La Sorsa,PIT,0,0,4.8,12,0,0,0,,8.1,37,9,5,5,1,3,0,0,6
614,Andry Lara,WSN,0,0,5.1,4,0,0,0,,3,13,3,2,2,0,1,0,0,2
615,Michel Otañez,TEX,1,0,4.41,17,0,0,0,,10,45,8,5,5,1,7,0,1,11
616,Casey Legumina,TBR,1,1,4.7,35,0,0,5,,26.1,115,25,15,14,4,10,1,2,23
617,Drew Smith,MIN,0,0,5.17,10,0,0,0,,5.2,25,6,4,3,1,3,0,0,5
618,José Leclerc,SDP,0,0,4.65,15,0,0,0,,9.2,42,8,5,5,1,5,0,1,9
619,Grant Hartwig,MIN,0,0,4.97,9,0,0,0,,6.2,29,7,4,4,1,3,0,0,6
620,Josh Walker,BAL,1,0,4.81,16,0,0,0,,10.1,45,10,6,6,2,5,0,1,11
621,Jared Shuster,STL,0,0,4.89,12,0,0,0,,10,44,10,6,5,1,4,0,0,7
622,Yoendrys Gómez,MIN,1,1,4.78,40,0,4,8,,27.1,122,25,16,15,3,14,1,2,25
623,Luis Peralta,CHC,1,0,4.65,17,0,0,0,,11.2,51,10,6,6,1,7,0,1,12
624,Derek Law,ARI,0,0,5.2,9,0,0,0,,7,31,8,4,4,1,3,0,0,5
625,Carson Palmquist,WSN,0,0,5.12,13,0,0,0,,8,36,8,5,5,1,4,0,0,8
626,Ken Waldichuk,WSN,0,0,4.94,5,0,0,0,,3.2,16,3,2,2,1,2,0,0,3
