#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
211,Kendry Rojas,MIN,4,5,4.46,23,22,84.2,376,84,45,42,10,33,0,5,76
212,José Berríos,TOR,7,8,4.44,22,22,123.2,532,125,66,61,20,39,1,7,98
213,Jonathan Santucci,NYM,6,6,4.7,24,22,105.1,456,103,59,55,15,39,0,3,91
214,Mitch Farris,LAA,5,8,5.02,24,22,118.1,523,120,71,66,18,49,0,3,110
215,Jack Wenninger,NYM,7,8,4.66,24,22,117.2,513,119,66,61,17,42,0,5,98
216,Kyle Gibson,,6,8,4.88,22,22,120,533,128,70,65,18,47,0,4,102
217,Landon Knack,LAD,6,8,5.24,26,22,122,529,122,77,71,21,48,0,3,105
218,Gabriel Hughes,COL,4,7,4.98,22,22,94,415,103,56,52,13,34,0,3,64
219,Jackson Kent,WSN,6,9,5,22,22,108,473,111,65,60,16,38,0,5,87
220,Trevor McDonald,SFG,7,8,4.3,28,22,129.2,565,129,67,62,16,43,0,13,103
221,Ixan Henderson,STL,6,8,4.5,23,22,110,484,110,59,55,14,45,0,5,86
222,Chandler Champlain,WSN,5,8,5,25,22,113.1,501,122,68,63,15,40,0,6,76
223,Jarlin Susana,WSN,4,6,4.87,22,22,85,378,79,50,46,10,44,0,6,78
224,Jackson Wolf,SDP,6,7,4.74,25,22,112,485,111,64,59,17,41,0,5,92
225,Erick Fedde,CHW,6,10,5.18,26,22,125,551,135,78,72,20,49,0,3,92
226,Kyle Luckham,WSN,5,7,5.05,24,22,119.1,527,136,72,67,17,34,0,7,65
227,Lucas Gordon,CHW,5,8,5.15,23,22,92.2,414,96,57,53,14,44,0,3,73
228,Jaden Hamm,DET,3,5,5.07,22,22,88.2,392,92,54,50,13,34,0,5,65
229,Charlie Morton,,7,9,4.88,25,22,120,538,117,70,65,18,57,1,12,121
230,Jurrangelo Cijntje,STL,5,6,4.9,25,22,97.1,434,94,57,53,12,43,0,13,79
231,Erick Leal,,6,9,5.37,24,22,107.1,472,106,69,64,18,44,0,9,89
232,Carlos Carrasco,ATL,5,8,5.39,24,22,110.1,502,131,71,66,19,37,0,6,84
233,Eric Yost,SDP,5,8,5.13,23,22,107,486,113,66,61,15,47,0,9,74
234,Anthony Solometo,PIT,4,6,4.85,25,22,72.1,330,74,42,39,8,36,0,9,47
235,Jose Cabrera,ARI,6,7,4.82,23,22,112,502,119,65,60,16,44,0,10,77
236,Cole Ragans,KCR,7,6,3.58,23,21,115.2,480,95,50,46,12,40,0,3,143
237,Chris Sale,ATL,8,5,3.19,22,21,124.1,514,107,48,44,13,33,0,8,147
238,Zack Wheeler,PHI,9,5,3.43,21,21,128.2,524,110,53,49,14,35,0,6,133
239,Chase Burns,CIN,7,6,3.8,27,21,104.1,433,92,48,44,14,29,0,0,122
240,Blake Snell,LAD,8,5,3.56,21,21,106.1,444,83,45,42,12,48,0,2,134
241,Payton Tolle,BOS,5,4,4.11,28,21,103,434,95,51,47,15,30,0,5,109
242,Tylor Megill,NYM,6,6,4.22,21,21,96,418,87,49,45,11,41,0,6,105
243,Clayton Kershaw,,7,5,4.21,24,21,109,459,106,55,51,13,35,1,3,84
244,Brendan Beck,NYY,8,8,4.41,23,21,110.1,462,108,58,54,16,29,0,4,86
245,Chen Zhong-Ao Zhuang,ATH,6,8,4.61,24,21,121,514,126,67,62,19,28,0,4,91
246,Hunter Barco,PIT,3,3,4.15,26,21,86.2,382,81,43,40,10,37,0,8,83
247,Leandro Lopez,TEX,3,4,4.5,22,21,88,385,82,48,44,11,38,0,2,84
248,Jhonathan Díaz,SEA,7,7,4.14,26,21,115.1,496,117,57,53,13,32,0,8,88
249,Trey Gibson,BAL,6,6,4.53,24,21,105.1,456,100,57,53,14,38,0,9,96
250,Connor Noland,CHC,7,7,4.44,25,21,119.2,517,123,64,59,16,39,0,2,86
251,Keider Montero,DET,7,8,4.53,29,21,123.1,534,124,67,62,18,43,0,6,99
252,Carlos Lagrange,NYY,8,9,4.75,22,21,104.1,457,89,59,55,14,54,0,9,108
253,Michael Forret,TBR,4,4,4.52,25,21,89.2,388,85,49,45,12,34,0,6,78
254,Alan Rangel,PHI,4,6,5.05,25,21,112.1,486,116,68,63,18,38,0,2,92
255,Tate Kuehner,MIL,6,6,4.44,22,21,95.1,429,89,51,47,11,49,0,7,90
256,Thomas Harrington,PIT,6,8,4.51,23,21,103.2,449,107,56,52,14,32,0,5,79
257,Richard Fitts,STL,5,6,4.32,21,21,100,424,100,52,48,14,29,0,4,78
258,Nestor German,BAL,5,6,4.75,23,21,102.1,436,101,58,54,17,35,0,1,89
259,Will Sanders,CHC,6,8,4.57,24,21,108.1,473,105,59,55,15,38,0,9,90
260,Ryan Gallagher,MIN,5,8,5.11,21,21,104,455,110,64,59,17,33,0,3,83
261,Jake Brooks,COL,5,9,5.12,22,21,102,455,119,63,58,15,27,0,8,58
262,Wes Benjamin,,6,7,4.57,24,21,108.1,478,114,59,55,15,41,1,4,82
263,Matt Waldron,SDP,5,8,4.92,22,21,106,458,107,63,58,16,34,0,6,87
264,Garrett Burhenn,DET,5,8,5,23,21,104.1,457,114,63,58,16,31,0,4,72
265,Jacob Miller,MIA,4,6,4.79,22,21,109,486,115,63,58,14,44,0,5,74
266,Will Watson,NYM,5,6,4.98,26,21,103,458,100,62,57,14,49,0,5,90
267,Braden Nett,ATH,4,7,4.95,22,21,87.1,398,88,52,48,11,44,0,6,73
268,Cameron Weston,BAL,5,8,4.85,25,21,115,504,114,67,62,17,45,0,10,96
269,Chase Solesky,TBR,4,6,4.97,22,21,97.2,429,105,58,54,15,35,1,3,65
270,Jose Franco,CIN,4,7,5.38,26,21,87,390,87,56,52,14,41,0,5,78
271,Jean Cabrera,PHI,5,8,5.22,22,21,108.2,487,115,68,63,17,44,0,7,84
272,Owen Wild,TBR,5,7,5.23,21,21,96.1,419,102,61,56,17,33,0,2,71
273,Jack Mahoney,COL,4,8,5.49,22,21,96.2,445,114,64,59,14,38,0,6,56
274,Jack Choate,SFG,4,5,4.75,26,21,91,406,91,52,48,12,37,0,10,76
275,Sam Armstrong,MIN,5,7,5.23,24,21,103.1,466,115,65,60,15,35,0,11,66
276,Michael Morales,SEA,5,6,4.98,21,21,103,452,109,62,57,15,35,0,5,65
277,Blas Castaño,COL,5,7,4.71,26,21,107,474,110,61,56,14,39,0,12,74
278,Drue Hackenberg,ATL,4,7,5.17,21,21,87,399,88,54,50,11,47,0,8,67
279,Aaron Davenport,CLE,5,7,4.98,24,21,112,502,115,67,62,18,51,0,7,86
280,Seth Lonsway,SFG,5,8,4.91,24,21,102.2,474,111,61,56,12,50,0,11,69
281,Kevin Abel,CIN,3,8,6.08,22,21,94.2,433,101,69,64,17,50,0,5,73
282,Brett Wichrowski,MIL,3,5,5.42,21,21,88,398,91,57,53,14,39,0,9,62
283,Victor Lizarraga,SDP,5,8,5.52,23,21,89.2,409,92,59,55,14,47,0,6,68
284,Shane McClanahan,TBR,8,5,3.29,20,20,112.1,454,96,44,41,13,30,1,2,118
285,Spencer Schwellenbach,ATL,8,5,3.39,20,20,124.2,500,111,51,47,15,23,1,5,122
286,Kyle Bradish,BAL,6,3,3.51,20,20,100,414,86,42,39,10,32,0,5,104
287,Nick Martinez,TBR,10,9,3.89,39,20,138.2,584,137,65,60,14,39,1,5,104
288,Brandon Woodruff,MIL,7,5,3.68,20,20,97.2,400,84,43,40,13,26,0,4,105
289,Tyler Glasnow,LAD,5,4,3.76,21,20,105.1,428,84,48,44,14,38,0,1,124
