#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO
120,Bubba Chandler,PIT,5,6,4.35,25,16,89,388,83,46,43,11,41,5,85
121,Braxton Garrett,MIA,3,4,4.01,18,10,61,262,60,30,27,7,20,4,54
122,Stephen Kolek,KCR,5,6,4.36,31,15,98,424,104,52,47,10,31,6,68
123,Tanner Scott,LAD,3,2,3.28,42,0,42,174,34,17,15,4,16,2,50
124,Adrian Morejon,SDP,4,3,3.23,44,0,44,183,38,17,16,4,14,1,47
125,Connor Prielipp,MIN,4,5,4.11,29,13,76,331,73,38,35,9,31,4,74
126,Gage Jump,ATH,5,5,4.23,14,14,70,300,68,36,33,9,25,4,63
127,Justin Wrobleski,LAD,5,5,4.42,25,12,84,361,84,45,41,11,28,3,68
128,Joey Cantillo,CLE,4,5,4.07,24,15,83,360,75,41,38,10,39,2,85
129,Tyler Mahle,SFG,5,6,4.15,17,17,89,378,85,44,41,11,32,2,77
130,Ryne Nelson,ARI,5,5,4.28,17,17,96,410,97,50,46,14,29,3,80
131,Yusei Kikuchi,LAA,3,3,4.2,10,10,55,238,54,28,26,8,21,2,56
132,Louis Varland,TOR,3,2,3.24,43,0,43,179,38,17,16,4,12,1,46
133,Mike Burrows,HOU,4,5,4.36,16,16,82,352,78,43,40,13,29,3,78
134,Garrett Whitlock,BOS,3,2,3.31,38,0,38,158,33,15,14,4,11,1,44
135,Dean Kremer,BAL,5,5,4.4,18,14,80,343,80,42,39,12,26,2,71
136,Kyle Freeland,COL,4,8,5.19,18,18,95,419,111,59,55,16,27,5,73
137,Devin Williams,NYM,4,2,3.22,42,0,42,174,29,16,15,4,20,2,56
138,Alex Vesia,LAD,3,2,3.4,41,0,41,172,31,17,16,5,18,2,53
139,Pete Fairbanks,MIA,3,2,3.45,40,0,40,165,33,16,15,4,15,2,44
140,Andrés Muñoz,SEA,3,2,3,41,0,41,170,30,15,14,4,17,2,55
141,Spencer Arrighetti,HOU,6,7,4.42,23,17,99,430,89,52,48,13,48,8,100
142,Andrew Alvarez,WSN,4,5,4.17,38,10,83,362,84,42,39,9,32,4,67
143,Christian Scott,NYM,3,3,4.1,13,13,62,264,57,31,28,8,21,4,61
144,Josh Hader,HOU,2,2,3.26,36,0,36,148,26,14,13,4,14,2,49
145,Abner Uribe,MIL,3,2,3.22,47,0,47,198,36,18,17,4,22,3,56
146,Kyle Leahy,STL,5,7,4.41,31,15,107,462,106,57,52,13,41,4,89
147,Bryan Baker,TBR,2,2,3.67,44,0,44,186,37,20,18,5,17,1,50
148,Gregory Soto,PIT,2,2,3.5,43,0,43,182,37,18,17,3,19,4,49
149,José Alvarado,PHI,3,2,3.27,41,0,41,170,33,16,15,3,17,2,48
150,Raisel Iglesias,ATL,3,2,3.34,43,0,43,175,36,17,16,5,12,1,47
151,Brandon Pfaadt,ARI,4,5,4.32,27,12,81,346,83,42,39,11,21,4,72
152,Drew Anderson,DET,3,3,3.77,44,2,54,226,47,24,22,6,20,3,61
153,Slade Cecconi,CLE,5,7,4.47,18,18,97,415,99,52,48,15,27,4,82
154,Garrett Cleavinger,TBR,3,2,3.35,44,0,44,182,33,18,16,4,18,4,56
155,Justin Verlander,DET,4,5,4.55,14,14,73,317,73,40,37,11,25,3,61
156,Andrew Painter,PHI,5,6,4.74,22,17,92,400,93,52,49,14,35,2,78
157,Trevor Megill,MIL,3,2,3.17,42,0,42,173,34,16,15,4,15,1,52
158,Emerson Hancock,SEA,5,5,4.18,38,14,97,416,95,49,45,13,30,5,84
159,Joe Musgrove,SDP,3,3,3.87,9,9,48,203,46,22,21,6,13,3,45
160,Fernando Cruz,NYY,3,2,3.51,42,0,42,179,33,18,16,4,21,2,56
161,Brandon Sproat,MIL,5,5,4.45,22,15,86,372,81,46,42,11,37,5,77
162,Matt Brash,SEA,3,2,3.09,40,0,40,169,33,15,14,3,16,2,47
163,Robert Suarez,ATL,3,2,3.41,43,0,43,180,38,18,16,4,13,1,45
164,Jeff Hoffman,TOR,4,2,3.17,40,0,40,165,31,15,14,5,14,2,51
165,Robbie Ray,SFG,6,7,4.4,20,20,112,484,105,59,55,17,47,4,110
166,Zack Littell,WSN,5,7,4.83,17,17,97,417,107,56,52,17,23,4,69
167,Jacob Lopez,ATH,4,6,4.71,24,13,79,345,75,44,41,12,37,4,76
168,Grant Holmes,ATL,4,5,4.31,27,13,84,363,80,44,40,11,35,3,82
169,Tanner Gordon,COL,3,6,5.2,27,12,79,343,91,49,46,14,19,2,60
170,Ryan Helsley,BAL,2,2,3.29,32,0,32,136,26,13,12,3,13,1,39
171,Kodai Senga,NYM,4,4,4.04,12,12,60,260,54,29,27,7,28,2,60
172,Aaron Civale,ATH,4,6,4.99,15,15,78,339,82,46,43,13,25,3,64
173,Aaron Ashby,MIL,4,3,3.54,46,1,51,222,44,22,20,4,26,3,57
174,Noah Schultz,CHW,3,5,4.63,14,14,66,290,64,37,34,8,32,5,57
175,Michael Lorenzen,COL,5,8,5.12,26,17,99,440,110,61,57,16,36,4,76
176,Lucas Giolito,SDP,5,6,4.55,18,18,99,429,94,54,50,16,41,3,89
177,Patrick Corbin,TOR,4,5,4.91,19,14,76,336,84,45,42,11,25,3,61
178,Rhett Lowder,CIN,4,5,4.69,20,12,67,293,69,38,35,9,25,3,52
179,Justin Steele,CHC,2,2,3.61,6,6,36,149,33,16,14,4,11,1,34
180,Chase Dollander,COL,3,6,5.13,19,13,73,325,75,45,42,11,33,5,66
181,Carmen Mlodzinski,PIT,4,4,3.74,39,5,63,268,61,28,26,6,22,2,55
182,Jeremiah Estrada,SDP,3,2,3.34,41,0,41,171,31,16,15,5,18,1,55
183,Colin Rea,CHC,5,6,4.56,21,14,85,368,88,47,43,13,27,4,67
184,Dylan Lee,ATL,2,2,3.25,41,0,41,170,35,16,15,5,12,1,48
185,Spencer Schwellenbach,ATL,2,2,3.57,5,5,31,129,29,13,12,4,8,1,30
186,Ryan Feltner,COL,3,6,5.31,20,15,78,348,84,50,46,12,34,3,65
187,Kevin Ginkel,ARI,3,2,3.61,41,0,41,173,37,18,16,4,15,1,43
188,Clay Holmes,NYM,3,2,3.78,12,6,40,174,40,19,17,3,15,2,35
189,Lucas Erceg,KCR,3,3,3.74,43,0,43,183,39,19,18,3,19,3,41
190,Joe Boyle,TBR,3,3,4.02,21,7,48,208,40,23,21,5,26,3,54
191,Randy Vásquez,SDP,5,7,4.74,19,19,102,444,105,58,54,15,37,6,73
192,Tomoyuki Sugano,COL,5,9,5.36,19,19,104,462,128,67,62,18,27,4,63
193,Logan Allen,CLE,4,4,4.26,25,9,67,292,67,34,32,9,26,2,58
194,Max Scherzer,TOR,4,5,4.6,20,13,70,299,68,39,36,13,21,3,65
