#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO,,,,
1,Tarik Skubal,DET,9,3,2.56,19,19,118,466,93,37,34,10,21,4,143,,,,
2,Cristopher Sánchez,PHI,8,4,3.05,20,20,128,523,114,47,43,10,30,4,131,,,,
3,Paul Skenes,PIT,10,5,2.85,22,22,122,491,99,42,39,11,29,5,139,,,,
4,Logan Webb,SFG,10,6,3.23,21,21,129,534,121,50,46,10,29,4,121,,,,
5,Garrett Crochet,BOS,9,4,3.05,19,19,110,450,94,40,37,12,30,4,135,,,,
6,Dylan Cease,TOR,8,5,3.43,21,21,114,476,92,47,43,12,45,3,139,,,,
7,Max Fried,NYY,9,5,3.33,19,19,118,488,103,47,44,9,35,4,106,,,,
8,Yoshinobu Yamamoto,LAD,9,5,3.57,19,19,115,461,92,49,46,14,28,3,123,,,,
9,Jesus Luzardo,PHI,8,6,3.83,19,19,112,465,100,52,48,14,33,3,126,,,,
10,Bryan Woo,SEA,8,5,3.41,19,19,110,442,92,45,42,13,23,5,111,,,,
11,Joe Ryan,MIN,8,6,3.62,20,20,107,436,92,47,43,13,25,6,117,,,,
12,Kevin Gausman,TOR,8,6,3.67,20,20,114,477,108,51,47,14,29,1,111,,,,
13,Ranger Suarez,BOS,8,5,3.53,19,19,105,446,103,45,41,9,31,2,93,,,,
14,Hunter Brown,HOU,7,3,3.03,17,16,94,389,77,35,32,8,32,3,105,,,,
15,Cam Schlittler,NYY,8,5,3.54,19,18,96,399,83,41,38,10,31,3,103,,,,
16,Chris Sale,ATL,7,4,3.21,16,15,90,371,79,35,32,9,23,6,108,,,,
17,George Kirby,SEA,8,6,3.7,19,19,107,441,101,48,44,12,22,4,101,,,,
18,Andrew Abbott,CIN,5,6,4.21,21,21,113,484,112,57,53,14,37,2,97,,,,
19,Zack Wheeler,PHI,6,3,3.3,14,14,85,347,73,34,31,8,22,4,88,,,,
20,Shane McClanahan,TBR,7,4,3.22,15,15,82,337,70,32,29,8,24,1,87,,,,
21,Chase Burns,CIN,5,5,3.9,19,16,79,330,71,37,34,11,23,0,93,,,,
22,MacKenzie Gore,TEX,7,7,4.14,20,20,107,455,94,53,49,12,43,5,121,,,,
23,Jacob Misiorowski,MIL,7,4,3.5,19,17,90,371,67,38,35,10,36,7,117,,,,
24,Framber Valdez,DET,7,6,3.77,19,19,117,497,108,53,49,10,41,6,102,,,,
25,Jacob deGrom,TEX,7,5,3.73,19,19,102,413,86,46,42,16,24,1,112,,,,
26,Sandy Alcántara,MIA,6,7,4.12,18,18,114,479,108,57,52,12,32,4,91,,,,
27,Logan Gilbert,SEA,6,4,3.64,21,20,111,455,96,49,45,16,27,4,119,,,,
28,Sonny Gray,BOS,7,6,3.88,18,18,100,425,99,47,43,12,27,4,100,,,,
29,José Soriano,LAA,6,6,4.01,21,17,102,438,90,49,46,8,45,6,102,,,,
30,Freddy Peralta,NYM,8,7,4,21,21,113,474,95,54,50,15,44,5,122,,,,
31,Tanner Bibee,CLE,7,6,3.78,19,19,111,467,103,51,47,14,33,4,103,,,,
32,Nick Martinez,TBR,7,6,3.88,26,16,103,436,104,48,44,10,27,4,74,,,,
33,Drew Rasmussen,TBR,6,4,3.69,20,20,98,402,88,43,40,12,24,3,85,,,,
34,David Peterson,NYM,6,5,4.01,19,17,100,433,97,49,45,8,39,5,92,,,,
35,Taj Bradley,MIN,5,5,4.12,19,19,102,433,95,51,47,12,36,3,100,,,,
36,Davis Martin,CHW,5,6,3.95,18,17,94,397,89,45,41,10,28,5,82,,,,
37,Gavin Williams,CLE,7,5,3.57,19,19,107,450,91,46,42,13,41,4,115,,,,
38,Clay Holmes,NYM,7,6,3.84,19,17,95,408,95,44,40,7,33,5,80,,,,
39,Aaron Nola,PHI,6,6,4.41,17,17,98,413,96,52,48,15,26,2,97,,,,
40,Mitch Keller,PIT,6,7,4.02,20,20,110,471,110,54,49,13,33,6,95,,,,
41,Braxton Ashcraft,PIT,5,4,3.55,22,13,83,350,80,36,33,8,23,4,81,,,,
42,Kris Bubic,KCR,5,4,3.74,16,14,78,334,73,35,32,7,30,2,79,,,,
43,Trey Yesavage,TOR,3,2,3.68,17,16,70,293,56,31,29,7,29,2,75,,,,
44,Michael Wacha,KCR,6,7,4.24,18,18,104,439,101,53,49,13,32,3,85,,,,
45,Will Warren,NYY,6,5,4.24,19,19,97,411,90,50,46,12,33,4,100,,,,
46,Reid Detmers,LAA,5,5,4.13,25,13,83,350,74,42,38,9,29,5,93,,,,
47,Jack Leiter,TEX,6,6,4.14,20,20,106,446,90,53,49,13,42,4,103,,,,
48,Spencer Strider,ATL,6,5,4.04,15,15,82,344,71,40,37,11,29,3,101,,,,
49,Nolan McLean,NYM,7,5,3.84,19,18,102,429,89,47,43,11,38,9,106,,,,
50,Casey Mize,DET,5,5,3.94,17,17,86,362,84,41,37,10,25,3,78,,,,
51,Nick Pivetta,SDP,6,5,3.83,17,16,93,383,78,43,40,14,28,2,102,,,,
52,Bailey Ober,MIN,5,6,4.3,19,19,103,432,101,53,49,15,26,4,88,,,,
53,Shohei Ohtani,LAD,5,2,3.2,12,12,63,256,46,24,22,7,22,5,75,,,,
54,Tyler Glasnow,LAD,4,2,3.78,14,14,72,300,58,33,30,10,26,1,88,,,,
55,Kyle Bradish,BAL,5,4,3.78,15,15,77,327,68,35,32,8,29,3,82,,,,
56,Matthew Boyd,CHC,6,5,3.88,16,16,86,359,80,40,37,11,24,3,81,,,,
57,Cole Ragans,KCR,4,5,4.26,16,15,77,326,66,39,36,11,31,2,97,,,,
58,Michael King,SDP,6,4,3.69,17,16,88,376,79,39,36,11,35,5,94,,,,
59,Bryce Elder,ATL,6,6,4.23,19,19,108,460,105,55,51,12,35,4,93,,,,
60,Shota Imanaga,CHC,6,5,3.9,18,18,98,404,89,46,43,16,23,2,94,,,,
61,Trevor Rogers,BAL,5,5,4.15,17,17,89,379,86,45,41,10,28,3,77,,,,
62,Kyle Harrison,MIL,4,3,3.95,19,17,83,349,71,40,36,10,31,5,94,,,,
63,Payton Tolle,BOS,4,3,3.99,18,14,71,297,65,34,31,10,20,3,77,,,,
64,Drew Anderson,DET,5,5,4.15,21,14,85,362,76,43,39,12,32,4,97,,,,
65,Brandon Woodruff,MIL,5,3,3.83,14,14,68,279,60,31,29,9,18,3,70,,,,
66,Zebby Matthews,MIN,4,4,3.97,13,13,66,278,66,32,29,9,16,1,68,,,,
67,Carmen Mlodzinski,PIT,6,5,3.45,25,10,77,329,74,32,30,6,26,3,67,,,,
68,Michael McGreevy,STL,6,7,4.04,20,20,107,451,110,52,48,13,25,2,77,,,,
69,Seth Lugo,KCR,5,5,4.01,18,17,98,418,96,47,43,12,33,3,82,,,,
70,Landen Roupp,SFG,6,4,3.54,17,14,76,325,69,33,30,6,30,2,77,,,,
71,Noah Cameron,KCR,5,6,4.16,18,18,98,415,95,49,45,13,31,3,84,,,,
72,Ben Brown,CHC,4,3,3.8,19,9,69,290,61,32,29,7,24,3,75,,,,
73,Jack Flaherty,DET,6,7,4.47,19,19,96,415,88,52,48,14,40,6,108,,,,
74,Parker Messick,CLE,5,5,3.86,18,17,88,374,83,41,38,11,29,5,88,,,,
75,Yusei Kikuchi,LAA,4,5,4.38,19,18,93,408,95,49,45,13,37,3,95,,,,
76,Luis Severino,ATH,5,7,4.54,18,18,101,435,99,55,51,13,36,6,88,,,,
77,Shane Baz,BAL,6,7,4.37,19,19,102,435,95,54,50,13,37,5,98,,,,
78,Blake Snell,LAD,5,3,3.6,12,12,60,253,47,26,24,7,27,1,76,,,,
79,Jeffrey Springs,ATH,6,7,4.43,19,18,101,433,101,54,50,15,33,2,87,,,,
80,Carlos Rodón,NYY,6,5,4.07,14,14,76,323,66,37,34,9,30,3,79,,,,
81,Mason Miller,SDP,3,0,2.02,41,0,44,170,23,11,10,3,16,1,76,,,,
82,Louis Varland,TOR,5,3,3.32,36,8,71,294,63,29,26,8,20,2,73,,,,
83,Justin Wrobleski,LAD,5,5,4.36,21,11,82,347,80,43,40,9,25,3,69,,,,
84,Logan Henderson,MIL,5,4,3.96,14,14,63,262,55,30,28,9,19,2,67,,,,
85,Luis Castillo,SEA,6,6,3.97,19,18,106,448,100,51,47,15,32,5,99,,,,
86,Chad Patrick,MIL,5,5,4.39,23,16,94,401,89,50,46,13,33,3,88,,,,
87,Zac Gallen,ARI,9,7,3.98,21,21,120,506,112,58,53,16,38,4,105,,,,
88,Brady Singer,CIN,6,9,4.93,21,21,109,470,111,65,60,18,35,7,99,,,,
89,Gerrit Cole,NYY,4,3,3.99,11,11,65,271,58,31,29,9,19,2,61,,,,
90,Brayan Bello,BOS,7,8,4.41,21,20,111,480,111,59,54,14,40,5,91,,,,
91,Cade Cavalli,WSN,4,4,4.09,16,16,77,329,72,38,35,7,28,9,72,,,,
92,Chris Bassitt,BAL,6,7,4.3,21,18,106,462,109,55,51,13,38,9,91,,,,
93,Brandon Pfaadt,ARI,5,6,4.4,21,17,102,434,104,54,50,14,26,5,93,,,,
94,Janson Junk,MIA,4,6,4.51,18,15,87,373,95,48,44,12,19,3,64,,,,
95,Emmet Sheehan,LAD,3,3,4.3,17,13,66,277,57,35,32,10,23,4,75,,,,
96,Eduardo Rodriguez,ARI,6,5,4.08,17,17,96,417,97,47,43,12,35,1,83,,,,
97,Mick Abel,MIN,5,5,4.09,16,14,76,327,71,37,34,8,30,4,74,,,,
98,Dustin May,STL,6,6,4.08,16,15,87,365,79,43,39,9,29,7,73,,,,
99,Cade Smith,CLE,5,2,2.59,46,0,47,189,35,15,14,3,13,3,63,,,,
100,Bubba Chandler,PIT,5,6,4.32,19,18,89,385,81,46,42,11,41,6,88,,,,
101,Nathan Eovaldi,TEX,5,5,4.09,14,14,83,347,77,41,38,12,22,4,78,,,,
102,Robby Snelling,MIA,4,5,4.29,14,14,68,296,68,35,33,9,24,2,62,,,,
103,Sean Burke,CHW,4,6,4.46,19,16,90,390,86,49,45,13,36,5,85,,,,
104,Joey Cantillo,CLE,4,4,3.95,21,14,76,330,68,36,34,9,35,1,81,,,,
105,Joe Boyle,TBR,4,5,4.19,17,14,71,310,59,36,33,7,39,4,79,,,,
106,Shane Smith,CHW,4,5,4.19,17,17,83,349,70,42,39,10,33,8,80,,,,
107,Grant Taylor,CHW,2,1,3.09,33,6,42,173,35,16,14,3,14,0,48,,,,
108,Max Meyer,MIA,4,3,3.85,14,14,66,279,61,30,28,8,23,3,65,,,,
109,Eury Pérez,MIA,5,6,4.47,18,18,82,347,72,44,41,13,32,3,87,,,,
110,Bryce Miller,SEA,4,3,4.03,13,13,71,295,64,35,32,9,20,3,63,,,,
111,Jonah Tong,NYM,5,5,4.16,15,14,65,278,58,33,30,8,27,1,73,,,,
112,Michael Soroka,ARI,6,4,3.74,17,13,74,311,65,34,31,8,26,7,73,,,,
113,Rhett Lowder,CIN,4,5,4.6,16,16,74,320,74,41,38,9,25,3,58,,,,
114,Edward Cabrera,CHC,5,5,4.09,18,18,93,391,79,46,42,13,36,5,95,,,,
115,Matthew Liberatore,STL,5,6,4.35,21,17,95,405,94,50,46,12,30,3,81,,,,
116,Jhoan Duran,PHI,6,2,2.49,42,0,42,171,32,13,12,2,13,2,54,,,,
117,Nick Lodolo,CIN,4,5,4.65,16,15,79,333,75,44,41,12,23,11,80,,,,
118,Tatsuya Imai,HOU,4,4,4.23,14,14,74,315,65,38,35,11,29,3,84,,,,
119,Connelly Early,BOS,5,6,4.37,18,16,81,349,77,43,40,10,30,8,82,,,,
120,Dietrich Enns,BAL,3,4,4.21,23,11,68,301,73,35,32,8,25,2,63,,,,
121,Andre Pallante,STL,6,7,4.41,22,17,97,422,98,52,47,10,37,3,72,,,,
122,Ryan Weathers,NYY,4,4,4.41,14,13,67,287,63,36,33,9,23,2,68,,,,
123,Cody Ponce,TOR,4,4,4.23,13,13,72,302,67,37,34,10,22,3,71,,,,
124,Ian Seymour,TBR,5,5,4.22,26,11,80,334,73,41,37,12,23,5,79,,,,
125,Jack Perkins,ATH,4,3,3.66,17,8,54,227,45,24,22,5,21,6,58,,,,
126,Griffin Jax,TBR,4,3,3.45,46,3,48,201,40,20,19,5,16,1,60,,,,
127,Merrill Kelly,ARI,7,6,4.14,18,18,102,436,101,51,47,15,32,1,85,,,,
128,Garrett Whitlock,BOS,4,2,3.26,32,3,47,192,40,18,17,5,12,2,54,,,,
129,Cade Horton,CHC,5,4,4.01,15,15,71,294,63,34,32,9,21,3,63,,,,
130,Andrew Morris,MIN,4,4,4.16,18,11,64,274,66,32,29,7,19,2,50,,,,
131,Grayson Rodriguez,LAA,3,4,4.34,11,11,56,241,53,29,27,7,20,2,58,,,,
132,Emerson Hancock,SEA,4,4,4.27,19,16,88,375,86,46,42,12,26,5,78,,,,
133,Stephen Kolek,KCR,4,5,4.36,18,15,80,346,82,42,39,8,25,6,55,,,,
134,Dean Kremer,BAL,5,6,4.45,16,15,86,367,85,46,42,13,27,2,76,,,,
135,Andrew Alvarez,WSN,3,4,4.45,16,14,72,313,74,38,35,9,27,3,57,,,,
136,Kumar Rocker,TEX,4,4,4.23,13,12,58,251,57,30,27,7,20,2,53,,,,
137,Simeon Woods Richardson,MIN,4,5,4.69,19,17,88,383,88,50,46,12,34,2,72,,,,
138,Cade Povich,BAL,4,5,4.55,16,15,77,335,77,42,39,11,29,2,73,,,,
139,Kyle Freeland,COL,4,8,5.12,17,17,89,393,104,55,51,14,25,4,69,,,,
140,Reynaldo López,ATL,4,3,3.85,23,11,67,284,60,31,29,8,25,1,68,,,,
141,Braxton Garrett,MIA,3,3,4.11,11,11,51,219,50,26,23,6,16,4,45,,,,
142,Ryne Nelson,ARI,4,4,4.19,20,17,98,412,95,49,45,15,27,3,84,,,,
143,Andrew Painter,PHI,4,5,4.86,17,16,78,339,78,46,42,12,29,1,74,,,,
144,Sean Manaea,NYM,3,3,4.49,17,10,69,292,64,37,34,10,22,5,70,,,,
145,Foster Griffin,WSN,3,4,4.6,14,12,69,294,69,38,35,10,21,4,66,,,,
146,J T Ginn,ATH,3,5,4.64,18,15,75,327,73,42,39,10,30,6,73,,,,
147,Brandon Sproat,MIL,4,5,4.65,19,18,87,377,82,49,45,12,36,6,81,,,,
148,José Suarez,ATH,3,3,4.09,17,8,56,241,52,28,25,6,23,2,54,,,,
149,Anthony Kay,CHW,3,6,4.79,16,14,83,366,86,48,44,12,33,6,69,,,,
150,Zach Eflin,BAL,4,5,4.26,13,13,69,288,71,35,33,11,13,1,56,,,,
151,Adrian Morejon,SDP,6,4,3.34,46,1,47,196,40,19,18,4,15,1,50,,,,
152,Roki Sasaki,LAD,4,4,4.54,16,12,67,289,64,37,34,11,25,5,74,,,,
153,Aaron Ashby,MIL,5,4,3.69,32,6,60,263,52,27,25,4,32,4,68,,,,
154,Mike Burrows,HOU,4,4,4.32,19,16,84,357,78,44,40,13,29,3,81,,,,
155,Kendry Rojas,MIN,2,3,4.46,15,13,52,228,52,28,26,6,22,3,47,,,,
156,Mitchell Parker,WSN,5,7,4.81,20,14,86,375,90,50,46,11,32,1,64,,,,
157,Randy Vásquez,SDP,5,6,4.51,19,18,91,394,91,50,46,12,32,6,66,,,,
158,Didier Fuentes,ATL,5,4,4.11,16,12,57,242,54,28,26,7,19,5,57,,,,
159,Kodai Senga,NYM,5,5,4.03,16,16,78,339,69,38,35,10,37,3,79,,,,
160,Chase Dollander,COL,4,6,5.05,16,14,76,333,75,46,43,11,33,7,70,,,,
161,Tanner Gordon,COL,3,6,5.23,15,13,72,315,84,46,42,13,17,1,56,,,,
162,Slade Cecconi,CLE,5,6,4.44,18,16,90,383,91,48,45,14,24,4,76,,,,
163,Ryan Weiss,HOU,5,6,4.62,18,13,85,368,80,47,43,13,36,5,86,,,,
164,David Bednar,NYY,5,2,3.3,43,0,44,179,35,17,16,4,15,2,54,,,,
165,Keider Montero,DET,4,6,4.59,20,15,86,372,88,47,44,12,29,3,67,,,,
166,Aroldis Chapman,BOS,3,1,2.75,39,0,34,143,25,11,11,2,16,1,49,,,,
167,Colin Rea,CHC,5,6,4.54,19,15,95,405,96,52,48,14,28,4,74,,,,
168,Aaron Civale,ATH,4,5,4.91,17,15,78,337,80,47,43,13,24,3,65,,,,
169,Coleman Crow,MIL,2,2,4.05,11,11,52,221,50,26,24,6,15,4,44,,,,
170,Spencer Arrighetti,HOU,5,5,4.22,14,13,68,295,59,34,32,8,34,6,71,,,,
171,Martín Pérez,ATL,4,4,4.2,16,13,73,318,75,37,34,9,26,3,60,,,,
172,Blade Tidwell,SFG,3,4,4.3,16,10,61,267,61,32,29,7,25,3,55,,,,
173,Tobias Myers,NYM,3,4,4.53,23,12,72,311,75,39,36,10,23,2,59,,,,
174,Tyler Mahle,SFG,4,4,4.14,14,14,70,296,66,35,32,10,24,1,61,,,,
175,Alan Rangel,PHI,2,3,5.04,14,12,63,273,65,38,35,10,21,1,53,,,,
176,Brant Hurter,DET,4,4,3.97,29,7,59,249,56,28,26,6,19,5,51,,,,
177,Alex Vesia,LAD,4,2,3.22,46,0,40,166,29,16,14,4,17,2,52,,,,
178,Steven Matz,TBR,3,3,4.19,23,7,53,229,54,27,25,7,17,2,49,,,,
179,Robbie Ray,SFG,6,7,4.34,19,19,102,438,96,53,49,16,38,3,100,,,,
180,Elmer Rodríguez,NYY,4,5,4.67,15,14,75,328,72,42,39,9,33,3,64,,,,
181,Jacob Lopez,ATH,4,6,4.8,18,14,76,332,71,44,40,12,35,4,77,,,,
182,Noah Schultz,CHW,3,5,4.83,16,16,64,282,62,37,34,7,31,6,58,,,,
183,Justin Verlander,DET,3,5,4.76,14,14,74,322,76,43,39,12,26,3,63,,,,
184,Mason Montgomery,PIT,2,2,3.93,33,7,53,226,48,25,23,6,21,2,59,,,,
185,Connor Prielipp,MIN,3,3,4.31,16,15,54,237,54,28,26,7,21,4,53,,,,
186,Brent Headrick,NYY,3,2,3.98,27,4,46,190,41,22,20,6,14,2,49,,,,
187,Patrick Corbin,TOR,3,6,5.41,17,17,85,382,100,56,51,13,30,3,68,,,,
188,Shane Drohan,MIL,4,3,4.08,15,10,53,225,47,26,24,6,22,2,50,,,,
189,Devin Williams,NYM,5,2,3.1,41,0,39,159,26,15,13,3,16,2,53,,,,
190,Robert Gasser,MIL,3,3,4.32,12,10,48,204,45,25,23,6,17,5,46,,,,
191,Jeremiah Estrada,SDP,3,2,3.42,45,0,44,182,33,18,17,5,19,1,61,,,,
192,Mason Barnett,ATH,2,4,4.78,15,14,71,313,71,41,38,9,31,4,61,,,,
193,Adrian Houser,SFG,4,6,4.46,18,16,90,393,96,48,45,10,31,4,61,,,,
194,Tanner Scott,LAD,4,2,3.31,43,0,41,170,33,17,15,4,14,2,48,,,,
195,Bailey Falter,KCR,3,4,4.57,16,14,69,297,69,38,35,9,24,1,49,,,,
196,Tyler Wells,BAL,3,3,4.28,18,8,52,217,48,27,25,8,14,2,46,,,,
197,Chris Paddack,CIN,4,6,5.11,18,16,85,369,93,53,49,17,23,2,69,,,,
198,Trevor Megill,MIL,3,1,2.9,36,1,33,138,27,12,11,3,12,1,43,,,,
199,Dylan Lee,ATL,3,1,3.03,45,0,42,172,35,15,14,5,11,0,50,,,,
200,Carlos Rodriguez,MIL,3,3,4.64,14,10,60,259,57,34,31,8,24,4,55,,,,
201,Lucas Giolito,SDP,4,5,4.33,16,16,82,351,74,43,39,13,33,3,76,,,,
202,Jose A. Ferrer,SEA,3,2,3.35,44,0,48,199,42,20,18,3,13,3,47,,,,
203,Johan Oviedo,BOS,3,3,4.46,13,11,55,237,51,29,27,8,23,4,53,,,,
204,Jonathan Cannon,CHW,3,6,4.98,15,13,72,317,77,43,40,11,26,4,55,,,,
