#,Name,Team,W,L,ERA,G,GS,IP,TBF,H,R,ER,HR,BB,HBP,SO,,,,
205,Jack Dreyer,LAD,2,2,3.95,40,2,45,188,38,22,20,5,16,1,48,,,,
206,Zack Littell,WSN,4,7,4.91,20,17,100,432,112,59,55,18,23,4,72,,,,
207,Michael Lorenzen,COL,4,8,5.01,18,17,93,408,100,56,52,15,33,4,69,,,,
208,Jake Irvin,WSN,5,7,4.81,20,20,105,455,106,61,56,17,37,6,87,,,,
209,Brad Lord,WSN,3,4,4.48,28,9,75,320,76,40,37,9,22,5,57,,,,
210,Duncan Davitt,CHW,3,5,4.85,15,13,70,302,74,41,38,10,22,4,54,,,,
211,Andrés Muñoz,SEA,4,2,3.01,42,0,42,170,29,15,14,4,16,3,57,,,,
212,Jacob Latz,TEX,1,2,4.3,29,4,53,227,47,27,25,6,24,1,51,,,,
213,Sean Newcomb,CHW,2,2,3.92,30,2,53,229,52,25,23,5,19,4,48,,,,
214,Jose Quintana,COL,4,7,4.96,16,16,81,366,91,48,45,11,36,3,51,,,,
215,Will Vest,DET,4,3,3.43,39,0,41,172,36,17,16,3,13,1,42,,,,
216,Trevor McDonald,SFG,4,5,4.25,17,14,80,342,80,41,38,10,25,9,65,,,,
217,Jake Woodford,MIL,3,3,4.04,23,7,63,264,59,31,28,7,20,3,47,,,,
218,Matt Brash,SEA,3,2,3.09,37,1,36,150,30,13,12,2,14,2,41,,,,
219,Keaton Winn,SFG,2,2,3.92,21,6,42,180,41,20,18,4,14,2,38,,,,
220,Cal Quantrill,TEX,3,6,5.12,17,13,74,320,75,46,42,10,26,4,54,,,,
221,Brendan Beck,NYY,4,5,4.6,13,12,61,261,61,34,31,9,17,2,48,,,,
222,Jakob Junis,TEX,2,2,4.01,30,3,47,195,44,23,21,4,12,3,38,,,,
223,Jared Koenig,MIL,3,2,3.68,32,3,42,178,38,19,17,4,15,2,42,,,,
224,Ryan Gusto,MIA,3,4,4.63,14,10,56,246,59,31,29,8,21,2,47,,,,
225,Walker Buehler,SDP,4,5,4.66,16,15,78,341,78,44,40,11,31,5,68,,,,
226,José Alvarado,PHI,3,1,3.34,37,0,33,139,27,13,12,3,13,2,40,,,,
227,Jeff Hoffman,TOR,5,3,3.22,44,0,44,181,33,17,16,6,15,3,57,,,,
228,Ryan Johnson,LAA,2,3,4.65,17,7,43,190,45,24,22,6,16,1,39,,,,
229,Edwin Díaz,LAD,3,2,3.27,34,0,35,143,25,14,13,4,14,3,50,,,,
230,Luis Morales,ATH,4,5,4.79,18,13,70,306,68,41,37,11,31,2,63,,,,
231,Tomoyuki Sugano,COL,4,8,5.06,17,17,90,401,110,55,51,16,23,3,55,,,,
232,Daniel Lynch IV,KCR,3,3,4.14,30,7,62,265,60,31,28,8,22,3,53,,,,
233,Graham Ashcraft,CIN,3,3,4.13,44,0,46,198,42,23,21,4,19,2,46,,,,
234,Jonathan Pintaro,NYM,2,2,4.23,15,8,41,177,39,21,19,4,17,4,39,,,,
235,Ryan Helsley,BAL,3,2,3.23,36,0,37,153,30,14,13,3,14,1,43,,,,
236,Raisel Iglesias,ATL,3,1,3.2,38,0,37,148,30,14,13,4,9,1,41,,,,
237,Pete Fairbanks,MIA,3,2,3.4,37,0,35,146,28,14,13,3,13,1,39,,,,
238,Abner Uribe,MIL,3,1,3.19,46,0,46,192,33,18,16,4,21,3,54,,,,
239,Kyle Hurt,LAD,2,2,4.43,19,7,43,188,38,23,21,6,21,3,49,,,,
240,Jedixson Paez,BOS,2,3,4.79,12,7,44,189,47,26,24,7,11,2,35,,,,
241,Chase Petty,CIN,3,7,5.58,16,15,69,307,73,46,43,10,30,3,49,,,,
242,Brandon Young,BAL,3,4,4.8,12,12,58,254,61,34,31,9,19,1,49,,,,
243,Mason Englert,TBR,2,2,4.18,26,3,47,199,46,24,22,6,13,2,43,,,,
244,Gregory Soto,PIT,2,2,3.53,43,0,38,163,33,16,15,3,16,4,45,,,,
245,Orion Kerkering,PHI,4,3,3.66,46,0,41,174,36,18,17,4,15,3,45,,,,
246,Bradgley Rodriguez,SDP,3,2,3.73,36,1,41,171,35,18,17,3,16,3,38,,,,
247,Christian Scott,NYM,2,2,4.41,10,10,43,183,40,23,21,5,15,4,41,,,,
248,Tyler Alexander,TEX,4,5,4.68,30,4,63,266,63,35,33,9,17,2,52,,,,
249,Tyler Uberstine,BOS,3,3,4.54,13,10,57,247,58,31,29,8,20,3,52,,,,
250,Wilber Dotel,PIT,3,5,4.69,15,14,64,281,67,36,33,9,24,4,50,,,,
251,Dylan Dodd,ATL,3,2,4.02,20,6,49,208,50,24,22,7,12,1,43,,,,
252,Jonathan Bowlan,PHI,3,3,4.27,29,4,51,217,49,26,24,7,17,2,49,,,,
253,Bryan Baker,TBR,2,2,3.81,44,0,42,177,36,19,18,5,16,1,48,,,,
254,Tyler Holton,DET,4,3,3.75,44,4,53,215,46,24,22,6,14,2,42,,,,
255,Fernando Cruz,NYY,3,2,3.62,37,1,35,151,28,15,14,4,18,2,49,,,,
256,Kyle Hart,SDP,3,4,4.36,21,10,65,281,65,34,32,9,22,5,58,,,,
257,Mitch Farris,LAA,2,5,5.18,16,12,71,315,74,45,41,11,29,2,66,,,,
258,Mason Fluharty,TOR,3,2,3.72,45,1,41,174,35,19,17,4,16,2,46,,,,
259,Hunter Barco,PIT,1,2,4.55,16,12,52,230,51,29,26,7,24,5,49,,,,
260,Jack Kochanowicz,LAA,4,7,5.16,18,17,90,398,95,56,51,11,36,8,59,,,,
261,Paul Blackburn,NYY,3,4,4.84,18,9,54,238,56,32,29,7,21,2,42,,,,
262,Tyler Phillips,MIA,2,3,4.22,26,7,65,282,65,33,30,7,25,2,50,,,,
263,Mitch Spence,KCR,2,4,4.71,18,10,66,287,70,38,35,9,22,3,50,,,,
264,Robert Suarez,ATL,4,2,3.42,40,0,39,159,33,16,15,4,11,1,38,,,,
265,Jesse Scholtens,TBR,3,4,4.81,15,9,57,249,60,33,31,9,19,2,48,,,,
266,Matt Waldron,SDP,3,5,5.07,15,13,69,298,71,42,39,11,22,4,57,,,,
267,JR Ritchie,ATL,4,4,4.62,15,15,74,318,70,41,38,10,30,6,65,,,,
268,Matt Strahm,KCR,2,2,3.69,39,1,39,161,33,17,16,5,12,2,40,,,,
269,Colton Gordon,HOU,3,4,4.74,16,13,70,304,74,40,37,13,21,4,60,,,,
270,Trey Gibson,BAL,3,4,4.76,14,12,61,263,60,35,32,9,22,5,55,,,,
271,Antonio Senzatela,COL,3,6,5.23,18,10,67,304,82,42,39,9,23,3,43,,,,
272,Hunter Harvey,CHC,2,1,3.24,27,1,28,113,23,11,10,3,7,1,31,,,,
273,Sam Hentges,SFG,1,1,3.35,27,1,26,110,23,11,10,2,9,1,26,,,,
274,Kyle Leahy,STL,3,4,4.45,31,7,69,299,68,37,34,8,26,3,60,,,,
275,Cristian Javier,HOU,3,4,4.6,12,11,54,234,48,30,28,8,26,2,50,,,,
276,Paxton Schultz,WSN,3,3,4.33,24,4,50,217,50,26,24,6,19,1,46,,,,
277,Kevin Ginkel,ARI,3,2,3.46,36,0,34,145,30,14,13,3,12,1,36,,,,
278,Ryan Feltner,COL,2,4,5.48,13,13,59,266,63,39,36,9,27,2,50,,,,
279,Tanner Banks,PHI,3,2,3.91,38,1,42,178,40,20,18,5,13,1,40,,,,
280,Jake Bird,NYY,3,2,3.99,40,0,46,193,39,22,20,4,18,5,51,,,,
281,Eduardo Rivera,BOS,2,3,4.65,12,8,44,195,42,25,23,6,22,2,41,,,,
282,AJ Blubaugh,HOU,4,6,4.64,24,11,74,325,71,41,38,11,35,3,67,,,,
283,DL Hall,MIL,1,1,4.21,24,7,45,200,40,23,21,4,25,2,47,,,,
284,Kai Wei Teng,HOU,4,5,4.68,22,9,61,263,55,34,32,7,28,7,59,,,,
285,Travis Adams,MIN,3,4,4.5,19,7,56,245,59,31,28,7,19,2,45,,,,
286,JT Brubaker,SFG,1,2,4.42,19,7,48,212,49,26,24,5,20,2,39,,,,
