#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,SO%
208,Jakob Junis,TEX,2,2,3.9,28,2,,,,44,182,41,21,19,4,11,,3,36,0.198
209,Jose Quintana,COL,4,6,4.94,15,15,,,,75,337,84,45,41,10,32,,3,46,0.136
210,Noah Schultz,CHW,2,4,4.89,14,14,,,,59,262,58,35,32,7,29,,6,52,0.198
211,Walker Buehler,SDP,4,5,4.61,15,14,,,,73,318,73,41,37,10,28,,5,63,0.198
212,Michael Lorenzen,COL,4,7,4.99,17,16,,,,86,379,92,52,48,14,31,,4,64,0.169
213,Aaron Civale,ATH,3,5,5.08,16,14,,,,73,316,76,45,41,13,22,,3,61,0.193
214,Adrian Houser,SFG,4,5,4.48,17,15,,,,84,367,89,45,42,10,29,,4,58,0.158
215,José Alvarado,PHI,2,1,3.3,34,0,,,,31,129,25,12,11,2,12,,2,37,0.287
216,Jonathan Cannon,CHW,3,6,4.98,14,12,,,,65,286,69,39,36,10,24,,4,49,0.171
217,Cal Quantrill,TEX,3,5,5.09,15,12,,,,67,291,69,41,38,9,23,,4,49,0.168
218,Brad Lord,WSN,3,4,4.47,26,8,,,,69,294,70,37,34,8,20,,5,53,0.18
219,Devin Williams,NYM,4,2,3.32,39,0,,,,37,150,24,15,13,3,17,,2,50,0.333
220,Jared Koenig,MIL,2,2,3.68,29,3,,,,39,163,35,17,16,4,13,,2,39,0.239
221,Chris Paddack,CIN,3,6,5.17,17,15,,,,81,350,88,51,47,16,22,,2,64,0.183
222,Duncan Davitt,CHW,3,5,4.85,13,12,,,,63,272,66,37,34,9,19,,4,48,0.176
223,Orion Kerkering,PHI,4,3,3.55,43,0,,,,39,163,34,17,15,4,14,,3,44,0.27
224,Jonathan Pintaro,NYM,2,2,4.19,14,8,,,,38,165,36,19,18,4,16,,4,36,0.218
225,Ryan Johnson,LAA,2,3,4.65,15,7,,,,40,173,41,22,21,6,14,,0,36,0.208
226,Jake Irvin,WSN,4,7,4.81,18,18,,,,96,416,97,56,51,15,34,,6,79,0.19
227,Jeff Hoffman,TOR,6,3,3.18,40,0,,,,41,169,31,16,15,5,15,,3,53,0.314
228,Graham Ashcraft,CIN,3,3,4.09,41,0,,,,43,185,39,21,20,3,18,,2,43,0.232
229,Raisel Iglesias,ATL,3,1,3.16,35,0,,,,35,139,28,13,12,3,8,,1,38,0.273
230,Brendan Beck,NYY,4,4,4.6,12,11,,,,56,238,56,31,29,8,16,,2,44,0.185
231,Jacob Latz,TEX,1,1,4.34,27,4,,,,48,208,43,25,23,6,21,,1,47,0.226
232,Tyler Phillips,MIA,2,3,4.15,24,7,,,,62,271,63,31,29,6,24,,2,48,0.177
233,Ryan Gusto,MIA,3,4,4.63,13,9,,,,51,224,53,28,26,7,19,,2,43,0.192
234,Abner Uribe,MIL,3,1,3.17,43,0,,,,43,181,31,17,15,3,20,,3,51,0.282
