#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
200,Ernie Clement,TOR,92,365,392,94,66,19,2,7,43,39,17,1,41,2,3,4,6,2,0.256
201,Jesus Rodriguez,SFG,43,154,170,41,31,7,1,2,19,16,13,1,23,1,1,0,4,1,0.267
202,Yainer Diaz,HOU,47,172,184,45,31,8,0,6,20,23,9,0,31,1,2,0,0,0,0.264
203,Ezequiel Duran,TEX,76,292,317,69,46,13,2,8,37,30,19,0,73,3,2,1,9,3,0.236
204,Kyle Teel,CHW,43,149,170,37,25,7,0,5,20,18,18,0,43,2,1,0,2,1,0.248
205,Amed Rosario,NYY,43,175,188,48,33,8,1,5,24,22,10,0,33,1,1,0,3,1,0.273
206,Victor Scott II,STL,83,308,347,69,52,11,2,5,42,22,26,0,81,5,3,6,22,4,0.224
207,Trevor Story,BOS,52,197,218,49,31,9,1,7,27,26,14,0,60,2,2,0,7,2,0.246
208,Joe Mack,MIA,63,219,242,48,32,10,0,6,23,26,20,0,65,2,1,0,1,0,0.218
209,Spencer Horwitz,PIT,82,306,352,78,53,17,0,8,41,40,39,1,57,4,3,0,1,1,0.255
210,Chandler Simpson,TBR,84,329,356,93,78,12,2,0,44,24,19,0,38,1,2,4,28,5,0.281
211,Kyle Manzardo,CLE,78,294,335,68,39,14,0,15,39,49,33,1,85,4,3,0,1,0,0.232
212,Brenton Doyle,COL,59,228,252,60,38,11,2,9,36,31,18,0,66,1,2,2,10,3,0.261
213,Ryan Waldschmidt,ARI,68,258,291,63,43,13,2,5,35,28,25,1,75,4,2,1,8,2,0.242
214,Jesús Sánchez,TOR,64,244,271,61,39,12,0,10,34,33,22,1,60,2,2,1,4,1,0.251
215,A.J. Ewing,NYM,57,220,245,55,39,11,1,4,29,22,21,1,58,1,1,1,9,2,0.252
216,Carson Benge,NYM,73,284,313,72,49,14,1,7,38,33,24,1,68,3,2,1,8,2,0.253
217,Coby Mayo,BAL,49,188,210,43,25,8,1,9,26,27,18,1,58,2,1,0,2,1,0.229
218,Henry Davis,PIT,42,148,167,33,20,6,1,6,20,20,13,0,40,3,1,1,2,1,0.224
219,Marcelo Mayer,BOS,73,281,308,68,45,15,1,7,33,34,23,1,67,2,2,0,5,1,0.242
220,Colt Keith,DET,71,273,303,70,47,15,1,7,35,34,26,1,62,2,2,0,2,1,0.257
221,Jordan Lawlar,ARI,49,188,209,46,30,9,2,5,27,22,16,1,55,3,1,1,8,2,0.246
222,Matt Vierling,DET,56,216,240,54,36,10,2,7,30,27,20,0,47,2,2,1,3,1,0.25
223,Hunter Feduccia,TBR,50,172,194,36,25,7,0,3,17,18,19,0,51,1,1,1,0,0,0.21
224,Edmundo Sosa,PHI,56,219,240,55,36,10,2,7,29,28,11,0,53,5,2,2,3,1,0.25
225,Kerry Carpenter,DET,66,253,280,61,35,12,1,13,35,41,21,1,73,4,2,0,1,0,0.242
226,Luis Campusano,SDP,45,156,174,37,25,7,0,5,19,20,14,0,36,2,1,0,0,0,0.235
227,Curtis Mead,WSN,58,218,243,54,34,11,1,8,29,31,19,1,46,4,2,0,4,2,0.249
228,Dominic Canzone,SEA,60,235,260,57,35,11,0,11,31,35,21,1,58,2,2,0,2,1,0.244
229,Kyle Karros,COL,61,231,260,61,44,12,1,4,30,28,25,1,57,2,2,0,2,1,0.264
230,Josh Bell,MIN,92,343,388,84,55,15,0,14,46,48,39,1,75,3,3,0,1,0,0.245
231,Isaac Collins,KCR,71,262,302,63,41,14,1,7,38,30,33,1,63,4,2,1,9,3,0.24
232,Romy Gonzalez,BOS,39,149,163,41,27,7,1,6,22,21,11,0,40,1,1,1,5,2,0.271
233,Sal Frelick,MIL,85,322,361,80,61,15,2,4,39,32,30,1,46,3,2,1,10,2,0.25
234,Tyler Freeman,COL,63,237,269,69,51,10,3,4,37,26,19,0,33,8,2,3,11,3,0.29
235,Miguel Amaya,CHC,45,155,175,35,24,6,0,5,19,19,14,0,37,3,1,2,0,0,0.226
236,Dalton Rushing,LAD,40,144,164,33,19,7,0,7,21,22,15,0,46,3,1,0,1,0,0.226
237,Mickey Moniak,COL,63,247,269,64,36,14,2,13,37,43,18,0,63,3,2,0,5,1,0.26
238,Mike Yastrzemski,ATL,66,243,280,56,33,13,1,9,34,33,30,1,63,3,2,1,2,1,0.232
239,Jared Triolo,PIT,55,210,237,52,37,9,2,4,28,22,22,0,52,2,2,1,5,2,0.248
240,Dylan Beavers,BAL,43,164,187,40,26,8,1,5,24,20,20,0,43,1,1,1,5,1,0.245
241,Oswald Peraza,LAA,73,283,311,64,43,10,2,9,37,30,21,0,78,5,2,1,10,3,0.228
242,Joc Pederson,TEX,64,228,268,53,32,10,0,11,33,34,32,1,57,5,2,0,2,1,0.231
243,Jake McCarthy,COL,71,276,306,74,54,13,3,5,40,28,20,0,52,5,2,3,15,3,0.268
244,Nolan Gorman,STL,85,316,357,67,40,13,0,14,39,47,36,1,108,2,3,0,2,1,0.214
245,Giancarlo Stanton,NYY,51,197,221,45,24,7,0,14,29,35,21,1,66,1,1,0,0,0,0.23
246,Mauricio Dubón,ATL,84,329,356,82,60,15,2,6,37,35,20,0,50,2,3,2,2,1,0.25
247,Rhys Hoskins,CLE,64,237,277,52,29,10,0,12,33,37,34,0,73,3,2,0,1,1,0.218
248,Will Benson,CIN,46,171,195,39,21,8,1,8,26,25,22,1,59,2,1,0,5,1,0.226
249,Keibert Ruiz,WSN,47,169,182,41,28,8,0,4,17,22,9,0,22,2,2,0,1,1,0.24
250,Austin Hedges,CLE,31,106,122,21,15,4,0,2,11,9,10,0,29,1,1,4,1,1,0.197
251,Paul Goldschmidt,NYY,54,212,235,54,34,11,0,9,29,31,19,1,50,2,2,0,2,1,0.254
252,Vaughn Grissom,LAA,68,261,288,67,47,12,1,6,32,30,21,0,50,4,2,0,4,1,0.255
253,Luis Torrens,NYM,51,182,199,43,31,8,1,4,20,19,13,0,44,2,1,1,1,0,0.236
254,Trevor Larnach,MIN,64,234,268,59,40,12,0,7,31,29,29,1,55,2,2,0,3,1,0.251
255,Kody Clemens,MIN,57,217,241,51,29,11,1,10,30,32,19,0,57,2,2,1,3,1,0.236
256,Marcell Ozuna,PIT,74,277,320,66,41,13,0,12,38,43,38,1,80,2,2,0,0,0,0.24
257,Daniel Schneemann,CLE,47,178,201,40,26,8,0,5,23,20,20,0,53,1,1,1,4,1,0.224
258,Jake Bauers,MIL,60,222,254,51,30,10,1,10,32,36,28,1,68,2,1,0,6,2,0.23
259,Mitch Garver,SEA,28,96,112,20,12,4,0,4,12,13,13,0,32,1,1,0,0,0,0.204
260,Jorge Soler,LAA,86,319,365,72,41,15,0,16,42,48,37,0,99,4,3,0,0,0,0.225
261,Brooks Lee,MIN,90,348,379,83,59,16,1,8,38,39,25,1,67,2,3,1,3,1,0.24
262,Jose Trevino,CIN,35,125,137,29,21,5,0,3,13,14,8,0,21,1,1,1,0,0,0.233
263,Carlos Cortes,ATH,60,233,260,59,37,14,0,8,31,33,22,0,45,2,2,0,1,0,0.252
264,Josh Smith,TEX,53,194,223,45,32,9,1,4,25,20,22,1,40,4,2,1,4,1,0.233
265,Lourdes Gurriel Jr.,ARI,79,307,336,80,54,15,1,9,39,43,22,0,52,3,3,0,4,1,0.262
266,Daniel Susac,SFG,47,166,180,40,28,7,1,4,19,18,10,0,48,2,1,0,2,1,0.238
267,Gavin Sheets,SDP,79,299,334,71,45,15,1,11,39,40,30,1,66,3,2,0,2,1,0.239
268,Jorge Polanco,NYM,60,229,259,56,35,11,0,10,31,32,25,1,52,2,2,1,3,1,0.243
269,Brett Baty,NYM,54,209,232,49,33,9,0,7,27,26,20,0,60,2,1,1,2,1,0.235
270,Angel Martínez,CLE,78,304,335,73,48,14,1,9,38,35,20,0,67,4,3,4,8,2,0.239
271,Darell Hernaiz,ATH,36,140,155,37,27,7,1,2,18,14,11,0,22,1,1,2,3,1,0.263
272,Javier Sanoja,MIA,48,187,203,50,36,10,2,3,23,20,12,1,20,1,1,2,5,2,0.269
