#,Name,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,SB,CS,AVG
58,Colson Montgomery,CHW,94,364,408,80,45,14,2,19,49,63,34,2,124,8,2,0,2,1,0.221
59,Willy Adames,SFG,101,391,435,93,54,22,1,16,55,52,40,1,111,3,2,0,6,2,0.238
60,Ceddanne Rafaela,BOS,88,351,379,93,60,20,3,11,51,49,19,0,82,6,2,1,12,5,0.266
61,Bryce Harper,PHI,102,380,440,103,59,23,0,20,59,62,54,5,92,2,3,0,7,3,0.27
62,Drake Baldwin,ATL,77,278,314,76,48,13,1,14,41,48,31,1,61,4,2,0,0,0,0.275
63,Isaac Paredes,HOU,96,356,413,85,53,16,1,16,45,54,45,0,70,11,2,0,0,1,0.239
64,Alejandro Kirk,TOR,61,214,242,57,41,9,0,7,22,31,24,1,30,2,1,0,0,0,0.265
65,Alex Bregman,CHC,101,380,436,94,63,18,1,13,52,48,47,2,66,6,2,0,2,1,0.247
66,Kyle Schwarber,PHI,104,376,449,84,39,14,1,30,65,71,65,3,133,6,2,0,4,1,0.225
67,Yandy Díaz,TBR,101,387,438,115,80,20,1,13,53,57,42,2,62,7,2,0,2,1,0.297
68,Ian Happ,CHC,99,366,426,88,51,20,1,16,56,53,55,2,108,3,2,0,5,2,0.241
69,Konnor Griffin,PIT,92,359,399,92,64,16,2,10,63,52,24,1,103,13,3,1,21,5,0.257
70,Daulton Varsho,TOR,88,345,381,81,46,17,2,17,51,51,30,2,89,3,2,1,6,2,0.236
71,Willson Contreras,BOS,95,353,411,93,56,19,2,16,49,58,39,1,103,16,3,1,3,1,0.262
72,Austin Riley,ATL,98,381,422,96,57,19,2,18,55,56,33,1,113,6,2,0,2,1,0.252
73,Oneil Cruz,PIT,90,345,390,85,50,16,2,17,55,52,40,3,123,3,2,0,23,4,0.245
74,Masyn Winn,STL,99,388,429,96,68,18,3,7,55,42,32,0,83,5,4,1,8,3,0.248
75,Randy Arozarena,SEA,102,380,440,95,59,21,1,14,59,50,43,1,113,14,3,0,19,5,0.25
76,Jazz Chisholm Jr.,NYY,91,348,394,84,52,14,2,17,51,56,40,1,106,3,2,1,21,5,0.242
77,Andrés Giménez,TOR,91,357,395,88,62,16,2,9,42,48,20,1,69,12,3,2,14,3,0.246
78,Munetaka Murakami,CHW,94,339,408,81,47,11,0,23,58,59,63,5,138,3,2,0,5,4,0.239
79,Jonathan Aranda,TBR,95,354,410,97,66,17,0,14,54,60,44,3,101,7,5,0,1,1,0.274
80,Max Muncy,LAD,71,256,307,58,32,10,1,15,45,39,46,2,78,4,1,0,1,0,0.227
81,Corey Seager,TEX,72,271,311,66,39,13,0,14,41,41,35,5,64,3,2,0,1,0,0.245
82,Kazuma Okamoto,TOR,89,339,386,82,48,17,0,17,44,59,39,4,86,6,2,0,1,1,0.242
83,Michael Busch,CHC,91,340,395,85,49,18,2,16,52,56,45,1,95,7,3,0,2,0,0.249
84,Taylor Ward,BAL,99,365,426,91,55,20,1,15,54,51,55,0,100,3,3,0,4,2,0.249
85,Manny Machado,SDP,96,373,416,91,57,17,0,17,53,57,38,3,86,1,4,0,5,1,0.243
86,Will Smith,LAD,70,239,277,61,40,10,1,10,36,35,32,1,53,5,2,0,1,0,0.255
87,Roman Anthony,BOS,85,310,365,80,52,16,2,10,52,41,50,1,91,3,2,0,5,2,0.258
88,Ernie Clement,TOR,91,371,395,103,71,23,2,7,47,42,16,1,38,2,2,3,4,2,0.279
89,Trent Grisham,NYY,84,306,362,66,37,12,1,16,49,48,49,0,85,3,2,1,4,1,0.217
90,Sal Stewart,CIN,94,362,407,95,59,20,0,16,57,60,38,1,79,4,3,0,11,2,0.262
91,Bryson Stott,PHI,92,358,398,91,63,16,3,9,46,46,34,1,66,2,2,2,17,2,0.253
92,Wilyer Abreu,BOS,80,307,347,79,48,17,1,13,43,45,36,2,82,1,2,0,5,2,0.256
93,Seiya Suzuki,CHC,92,351,399,90,54,16,2,17,50,56,43,2,101,3,2,0,4,2,0.257
94,Brandon Nimmo,TEX,94,359,408,91,59,17,2,13,49,44,39,1,88,8,2,1,4,1,0.253
95,Luis Arraez,SFG,94,377,408,118,92,19,3,4,46,40,21,2,16,3,3,4,6,1,0.314
96,Miguel Vargas,CHW,95,354,412,84,49,20,2,14,61,47,50,0,75,5,3,0,8,1,0.237
97,Brent Rooker,ATH,95,366,412,96,54,19,1,22,51,72,40,2,108,4,3,0,5,1,0.262
98,Jarren Duran,BOS,93,363,402,91,51,23,5,12,53,50,32,0,98,5,2,0,16,2,0.251
99,Josh Naylor,SEA,93,365,404,99,68,18,0,13,44,58,33,4,58,3,2,0,14,2,0.272
100,Matt McLain,CIN,88,333,379,79,50,16,2,12,48,46,38,0,100,4,2,1,12,3,0.238
101,Nolan Arenado,ARI,91,355,393,92,61,19,1,11,44,53,30,2,59,5,3,0,2,1,0.258
102,Gleyber Torres,DET,84,313,363,81,58,13,0,9,46,38,44,0,63,2,3,0,3,1,0.259
103,Luke Keaschall,MIN,84,316,363,82,56,18,2,6,47,42,34,1,58,10,2,0,17,4,0.258
104,Christian Walker,HOU,100,386,431,91,51,18,1,21,52,63,37,2,105,6,2,0,2,1,0.235
105,Brayan Rocchio,CLE,86,331,373,83,57,18,2,7,43,40,30,0,64,6,2,3,10,5,0.252
106,Josh Jung,TEX,89,357,385,94,62,18,1,12,43,45,23,0,88,3,2,0,2,1,0.262
107,Brandon Lowe,PIT,83,321,358,79,46,16,1,16,46,47,32,1,92,3,2,0,2,1,0.247
108,Steven Kwan,CLE,92,347,395,93,71,15,2,5,49,34,40,1,37,4,3,2,9,3,0.268
109,J.T. Realmuto,PHI,80,284,314,71,48,14,2,8,35,33,22,1,71,6,2,0,5,1,0.251
110,J.P. Crawford,SEA,93,346,404,82,58,14,1,9,46,38,49,1,75,4,2,2,3,1,0.236
111,Travis Bazzana,CLE,80,298,346,70,45,15,2,8,48,39,40,0,94,6,2,1,7,2,0.235
112,Brandon Marsh,PHI,78,304,339,84,56,15,3,9,43,41,30,1,90,2,3,1,7,2,0.275
113,Alec Burleson,STL,97,381,420,106,72,19,1,14,46,56,32,1,62,3,3,1,4,1,0.278
114,Spencer Horwitz,PIT,81,302,349,83,54,19,1,9,42,40,40,1,59,4,3,0,1,1,0.273
115,Rafael Devers,SFG,101,381,435,96,54,23,1,18,55,59,47,7,110,4,3,0,1,1,0.252
116,Austin Wells,NYY,75,264,298,58,35,12,1,12,31,39,29,1,74,3,2,0,3,1,0.221
117,Ozzie Albies,ATL,97,378,417,97,65,18,1,13,54,50,31,1,61,4,4,0,5,3,0.256
118,Carson Kelly,CHC,63,221,250,56,39,9,1,7,28,30,23,0,49,4,1,0,1,0,0.252
119,Marcus Semien,NYM,96,374,417,88,60,15,1,11,53,47,36,1,72,3,3,0,7,2,0.235
120,Nick Gonzales,PIT,82,324,354,88,61,19,3,5,41,38,23,0,72,5,2,0,3,2,0.27
121,Jeff McNeil,ATH,78,301,339,82,56,18,2,7,35,35,28,1,41,7,2,1,3,1,0.273
122,Colt Emerson,SEA,82,314,354,73,49,15,3,6,41,41,30,1,78,7,2,0,5,3,0.232
123,Chase Meidroth,CHW,84,312,362,79,61,12,1,5,46,30,41,0,61,5,2,2,7,2,0.254
124,Kyle Stowers,MIA,85,325,368,79,44,17,2,15,44,49,36,2,102,6,2,0,2,1,0.243
125,Joey Ortiz,MIL,86,333,372,81,56,16,2,7,47,40,30,0,66,3,3,3,9,4,0.244
126,Jacob Wilson,ATH,67,269,289,78,56,16,0,6,34,38,14,0,24,3,2,1,3,1,0.289
127,Cole Young,SEA,84,320,363,76,52,16,2,7,41,44,34,1,67,5,2,2,4,3,0.238
128,Ramón Laureano,SDP,81,314,351,75,44,15,2,14,45,46,28,1,102,7,2,0,6,2,0.238
129,Dylan Crews,WSN,80,312,345,75,51,11,3,9,44,37,25,0,78,7,2,0,15,4,0.24
130,Eugenio Suárez,CIN,89,340,384,81,44,15,1,22,49,62,35,1,118,6,2,0,2,1,0.238
131,Ryan Waldschmidt,ARI,68,257,296,62,43,12,2,5,40,33,31,0,67,6,2,0,9,4,0.239
132,Ezequiel Tovar,COL,94,379,408,97,61,23,2,11,45,45,22,0,102,3,3,2,5,2,0.255
133,Evan Carter,TEX,71,264,307,59,37,11,4,8,38,33,35,1,71,5,2,1,13,2,0.222
134,Teoscar Hernández,LAD,74,293,321,78,49,15,0,14,41,51,22,1,86,3,2,0,3,1,0.268
135,Patrick Bailey,CLE,54,193,214,41,28,7,1,5,21,23,17,0,58,1,1,1,1,0,0.211
136,Hunter Goodman,COL,93,348,377,86,47,19,2,19,48,54,23,0,105,5,2,0,2,1,0.249
137,Casey Schmitt,SFG,86,340,371,89,57,17,1,14,43,50,22,1,80,6,3,1,4,1,0.262
138,Zack Gelof,ATH,69,267,298,63,38,13,1,11,40,39,25,0,92,2,1,2,10,2,0.234
139,Tommy Edman,LAD,61,243,266,60,40,12,1,8,35,31,17,0,47,3,2,1,6,1,0.248
140,Caleb Durbin,BOS,74,282,319,68,45,18,1,5,40,36,22,0,35,11,2,3,12,4,0.243
141,Jakob Marsee,MIA,80,293,345,67,43,13,3,7,43,36,41,0,72,5,2,4,20,8,0.228
142,Chase DeLauter,CLE,79,304,342,78,48,19,1,10,38,45,35,0,49,0,3,0,2,2,0.255
