#,Name,Team,W,L,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO
60,Nick Lodolo,CIN,6,7,4.44,18,18,0,0,,103.2,440,99,55,51,16,32,0,8,100
61,Trevor Rogers,BAL,7,6,4.64,18,18,0,0,,105.1,454,106,58,54,14,37,0,4,86
62,Grayson Rodriguez,LAA,5,6,4.37,15,15,0,0,,85.1,363,82,44,41,12,29,0,4,82
63,Griffin Jax,TBR,4,5,3.95,25,13,0,0,,74,308,66,35,32,9,24,0,3,78
64,Carlos Rodón,NYY,8,6,4.49,20,20,0,0,,122,519,107,65,61,19,50,0,6,123
65,Davis Martin,CHW,5,7,4.54,18,18,0,0,,102,436,99,55,51,14,36,0,5,91
66,Shane Baz,BAL,7,6,4.61,19,19,0,0,,112.1,484,108,62,58,16,44,0,6,100
67,Noah Cameron,KCR,6,6,4.66,18,18,0,0,,101.2,436,102,56,53,15,34,0,3,84
68,Luis Castillo,SEA,6,6,4.35,30,15,0,0,,87,367,81,45,42,13,28,1,4,83
69,Mitch Keller,PIT,6,8,5.14,20,20,0,0,,108.2,474,117,66,62,15,36,0,6,85
70,Edward Cabrera,CHC,6,6,4.39,17,17,0,0,,97.2,415,88,51,48,13,39,0,5,91
71,Tyler Mahle,SFG,5,6,4.43,17,17,0,0,,92,394,89,48,45,12,34,0,3,76
72,Aaron Nola,PHI,7,7,4.67,20,20,0,0,,108.1,461,107,60,56,18,34,0,3,98
73,Matthew Liberatore,STL,5,7,4.91,18,18,0,0,,99.2,430,104,58,54,14,32,0,4,81
74,Emmet Sheehan,LAD,6,4,4.13,21,15,0,0,,76.1,318,65,37,35,12,27,0,3,84
75,Ryne Nelson,ARI,6,6,4.55,17,17,0,0,,93,393,91,50,47,14,27,0,3,75
76,Shane Bieber,TOR,6,5,4.17,24,15,0,0,,79.2,332,75,40,37,12,23,0,3,77
77,Michael Soroka,ARI,6,6,4.29,23,16,0,0,,83,352,75,42,40,10,31,0,5,76
78,Jack Leiter,TEX,6,6,4.47,18,18,0,0,,103.1,442,92,55,51,15,43,0,5,95
79,Eduardo Rodriguez,ARI,7,7,4.74,22,17,0,0,,104,451,105,59,55,14,41,1,3,82
80,Grant Taylor,CHW,2,2,3.21,53,1,5,8,,60,246,47,23,21,5,21,1,3,71
81,Ben Brown,CHC,4,3,3.74,37,8,0,0,,66.2,277,58,30,28,8,22,1,3,70
82,Janson Junk,MIA,5,7,4.58,22,16,0,0,,81.2,345,85,44,42,11,20,0,3,54
83,Robbie Ray,SFG,6,8,4.87,20,20,0,0,,119.1,517,110,69,65,19,54,0,4,118
84,Will Warren,NYY,6,6,4.34,25,17,0,0,,87.2,374,83,45,42,12,31,0,4,86
85,Nick Martinez,TBR,6,8,4.61,24,19,0,0,,99.2,421,100,54,51,15,26,0,4,65
86,Logan Henderson,MIL,5,6,4.28,24,14,0,0,,74.2,311,66,38,36,13,22,0,3,82
87,Jared Jones,PIT,5,6,4.58,20,15,0,0,,81.2,350,80,45,42,12,27,0,4,78
88,Bryce Miller,SEA,6,6,4.43,27,16,0,0,,87.1,369,82,46,43,13,29,1,3,79
89,David Peterson,NYM,5,6,4.49,21,15,0,0,,76.2,335,80,41,38,8,31,0,4,66
90,Christian Scott,NYM,4,4,4.2,13,13,0,0,,64.2,272,59,32,30,10,21,0,3,63
91,Connor Prielipp,MIN,5,6,4.39,30,13,0,0,,77.1,333,74,41,38,10,30,1,3,75
92,Michael McGreevy,STL,5,8,4.53,24,18,0,0,,92,392,97,49,46,12,24,0,3,61
93,Brandon Woodruff,MIL,5,5,4.28,14,14,0,0,,76.2,318,68,39,36,13,22,0,3,73
94,Chris Bassitt,BAL,6,6,4.84,19,19,0,0,,104.2,456,106,60,56,15,40,0,7,85
95,Andre Pallante,STL,5,7,4.54,18,18,0,0,,100.1,433,102,54,51,11,39,0,4,68
